r,t,e,m,y,AnnualTechnologyEmissionByMode
"RE1","MINCOA","CO2",1,2020,0
"RE1","MINCOA","CO2",1,2021,0
"RE1","MINCOA","CO2",1,2022,0
"RE1","MINCOA","CO2",1,2023,0
"RE1","MINCOA","CO2",1,2024,0
"RE1","MINCOA","CO2",1,2025,0
"RE1","MINCOA","CO2",1,2026,0
"RE1","MINCOA","CO2",1,2027,0
"RE1","MINCOA","CO2",1,2028,0
"RE1","MINCOA","CO2",1,2029,0
"RE1","MINCOA","CO2",1,2030,0
"RE1","MINCOA","CO2",1,2031,0
"RE1","MINCOA","CO2",1,2032,0
"RE1","MINCOA","CO2",1,2033,0
"RE1","MINCOA","CO2",1,2034,0
"RE1","MINCOA","CO2",1,2035,0
"RE1","MINCOA","CO2",1,2036,0
"RE1","MINCOA","CO2",1,2037,0
"RE1","MINCOA","CO2",1,2038,0
"RE1","MINCOA","CO2",1,2039,0
"RE1","MINCOA","CO2",1,2040,0
"RE1","MINCOA","CH4",1,2020,0
"RE1","MINCOA","CH4",1,2021,0
"RE1","MINCOA","CH4",1,2022,0
"RE1","MINCOA","CH4",1,2023,0
"RE1","MINCOA","CH4",1,2024,0
"RE1","MINCOA","CH4",1,2025,0
"RE1","MINCOA","CH4",1,2026,0
"RE1","MINCOA","CH4",1,2027,0
"RE1","MINCOA","CH4",1,2028,0
"RE1","MINCOA","CH4",1,2029,0
"RE1","MINCOA","CH4",1,2030,0
"RE1","MINCOA","CH4",1,2031,0
"RE1","MINCOA","CH4",1,2032,0
"RE1","MINCOA","CH4",1,2033,0
"RE1","MINCOA","CH4",1,2034,0
"RE1","MINCOA","CH4",1,2035,0
"RE1","MINCOA","CH4",1,2036,0
"RE1","MINCOA","CH4",1,2037,0
"RE1","MINCOA","CH4",1,2038,0
"RE1","MINCOA","CH4",1,2039,0
"RE1","MINCOA","CH4",1,2040,0
"RE1","MINGAS","CO2",1,2020,0
"RE1","MINGAS","CO2",1,2021,0
"RE1","MINGAS","CO2",1,2022,0
"RE1","MINGAS","CO2",1,2023,0
"RE1","MINGAS","CO2",1,2024,0
"RE1","MINGAS","CO2",1,2025,0
"RE1","MINGAS","CO2",1,2026,0
"RE1","MINGAS","CO2",1,2027,0
"RE1","MINGAS","CO2",1,2028,0
"RE1","MINGAS","CO2",1,2029,0
"RE1","MINGAS","CO2",1,2030,0
"RE1","MINGAS","CO2",1,2031,0
"RE1","MINGAS","CO2",1,2032,0
"RE1","MINGAS","CO2",1,2033,0
"RE1","MINGAS","CO2",1,2034,0
"RE1","MINGAS","CO2",1,2035,0
"RE1","MINGAS","CO2",1,2036,0
"RE1","MINGAS","CO2",1,2037,0
"RE1","MINGAS","CO2",1,2038,0
"RE1","MINGAS","CO2",1,2039,0
"RE1","MINGAS","CO2",1,2040,0
"RE1","MINGAS","CH4",1,2020,0
"RE1","MINGAS","CH4",1,2021,0
"RE1","MINGAS","CH4",1,2022,0
"RE1","MINGAS","CH4",1,2023,0
"RE1","MINGAS","CH4",1,2024,0
"RE1","MINGAS","CH4",1,2025,0
"RE1","MINGAS","CH4",1,2026,0
"RE1","MINGAS","CH4",1,2027,0
"RE1","MINGAS","CH4",1,2028,0
"RE1","MINGAS","CH4",1,2029,0
"RE1","MINGAS","CH4",1,2030,0
"RE1","MINGAS","CH4",1,2031,0
"RE1","MINGAS","CH4",1,2032,0
"RE1","MINGAS","CH4",1,2033,0
"RE1","MINGAS","CH4",1,2034,0
"RE1","MINGAS","CH4",1,2035,0
"RE1","MINGAS","CH4",1,2036,0
"RE1","MINGAS","CH4",1,2037,0
"RE1","MINGAS","CH4",1,2038,0
"RE1","MINGAS","CH4",1,2039,0
"RE1","MINGAS","CH4",1,2040,0
"RE1","PWRCOA","CO2",1,2020,0
"RE1","PWRCOA","CO2",1,2021,0
"RE1","PWRCOA","CO2",1,2022,0
"RE1","PWRCOA","CO2",1,2023,0
"RE1","PWRCOA","CO2",1,2024,0
"RE1","PWRCOA","CO2",1,2025,0
"RE1","PWRCOA","CO2",1,2026,0
"RE1","PWRCOA","CO2",1,2027,0
"RE1","PWRCOA","CO2",1,2028,0
"RE1","PWRCOA","CO2",1,2029,0
"RE1","PWRCOA","CO2",1,2030,0
"RE1","PWRCOA","CO2",1,2031,0
"RE1","PWRCOA","CO2",1,2032,0
"RE1","PWRCOA","CO2",1,2033,0
"RE1","PWRCOA","CO2",1,2034,0
"RE1","PWRCOA","CO2",1,2035,0
"RE1","PWRCOA","CO2",1,2036,0
"RE1","PWRCOA","CO2",1,2037,0
"RE1","PWRCOA","CO2",1,2038,0
"RE1","PWRCOA","CO2",1,2039,0
"RE1","PWRCOA","CO2",1,2040,0
"RE1","PWRCOA","CH4",1,2020,0
"RE1","PWRCOA","CH4",1,2021,0
"RE1","PWRCOA","CH4",1,2022,0
"RE1","PWRCOA","CH4",1,2023,0
"RE1","PWRCOA","CH4",1,2024,0
"RE1","PWRCOA","CH4",1,2025,0
"RE1","PWRCOA","CH4",1,2026,0
"RE1","PWRCOA","CH4",1,2027,0
"RE1","PWRCOA","CH4",1,2028,0
"RE1","PWRCOA","CH4",1,2029,0
"RE1","PWRCOA","CH4",1,2030,0
"RE1","PWRCOA","CH4",1,2031,0
"RE1","PWRCOA","CH4",1,2032,0
"RE1","PWRCOA","CH4",1,2033,0
"RE1","PWRCOA","CH4",1,2034,0
"RE1","PWRCOA","CH4",1,2035,0
"RE1","PWRCOA","CH4",1,2036,0
"RE1","PWRCOA","CH4",1,2037,0
"RE1","PWRCOA","CH4",1,2038,0
"RE1","PWRCOA","CH4",1,2039,0
"RE1","PWRCOA","CH4",1,2040,0
"RE1","PWRGAS","CO2",1,2020,0
"RE1","PWRGAS","CO2",1,2021,0
"RE1","PWRGAS","CO2",1,2022,0
"RE1","PWRGAS","CO2",1,2023,0
"RE1","PWRGAS","CO2",1,2024,0
"RE1","PWRGAS","CO2",1,2025,0
"RE1","PWRGAS","CO2",1,2026,0
"RE1","PWRGAS","CO2",1,2027,0
"RE1","PWRGAS","CO2",1,2028,0
