r,t,y,CapitalInvestment
"RE1","MINCOA",2020,0
"RE1","MINCOA",2021,0
"RE1","MINCOA",2022,0
"RE1","MINCOA",2023,0
"RE1","MINCOA",2024,0
"RE1","MINCOA",2025,0
"RE1","MINCOA",2026,0
"RE1","MINCOA",2027,0
"RE1","MINCOA",2028,0
"RE1","MINCOA",2029,0
"RE1","MINCOA",2030,0
"RE1","MINCOA",2031,0
"RE1","MINCOA",2032,0
"RE1","MINCOA",2033,0
"RE1","MINCOA",2034,0
"RE1","MINCOA",2035,0
"RE1","MINCOA",2036,0
"RE1","MINCOA",2037,0
"RE1","MINCOA",2038,0
"RE1","MINCOA",2039,0
"RE1","MINCOA",2040,0
"RE1","MINGAS",2020,0.00107830703619431
"RE1","MINGAS",2021,3.23492110858294e-05
"RE1","MINGAS",2022,3.33196874184041e-05
"RE1","MINGAS",2023,3.43192780409564e-05
"RE1","MINGAS",2024,3.53488563821855e-05
"RE1","MINGAS",2025,3.64093217501581e-05
"RE1","MINGAS",2026,3.7501602567235e-05
"RE1","MINGAS",2027,3.86266488219132e-05
"RE1","MINGAS",2028,3.97854493217451e-05
"RE1","MINGAS",2029,4.09790133621171e-05
"RE1","MINGAS",2030,4.2208382587626e-05
"RE1","MINGAS",2031,4.34746353053082e-05
"RE1","MINGAS",2032,4.47788735449537e-05
"RE1","MINGAS",2033,4.6122239233715e-05
"RE1","MINGAS",2034,4.75059077262606e-05
"RE1","MINGAS",2035,4.89310845698596e-05
"RE1","MINGAS",2036,5.03990162874396e-05
"RE1","MINGAS",2037,5.19109871426885e-05
"RE1","MINGAS",2038,5.34683169834143e-05
"RE1","MINGAS",2039,5.50723666330953e-05
"RE1","MINGAS",2040,5.6724537890882e-05
"RE1","PWRCOA",2020,0
"RE1","PWRCOA",2021,0
"RE1","PWRCOA",2022,0
"RE1","PWRCOA",2023,0
"RE1","PWRCOA",2024,0
"RE1","PWRCOA",2025,0
"RE1","PWRCOA",2026,0
"RE1","PWRCOA",2027,0
"RE1","PWRCOA",2028,0
"RE1","PWRCOA",2029,0
"RE1","PWRCOA",2030,0
"RE1","PWRCOA",2031,0
"RE1","PWRCOA",2032,0
"RE1","PWRCOA",2033,0
"RE1","PWRCOA",2034,0
"RE1","PWRCOA",2035,0
"RE1","PWRCOA",2036,0
"RE1","PWRCOA",2037,0
"RE1","PWRCOA",2038,0
"RE1","PWRCOA",2039,0
"RE1","PWRCOA",2040,0
"RE1","PWRGAS",2020,6739.41897621446
"RE1","PWRGAS",2021,202.182569286433
"RE1","PWRGAS",2022,208.248046365026
"RE1","PWRGAS",2023,214.495487755977
"RE1","PWRGAS",2024,220.93035238866
"RE1","PWRGAS",2025,227.558260938489
"RE1","PWRGAS",2026,234.385016045219
"RE1","PWRGAS",2027,241.416555136958
"RE1","PWRGAS",2028,248.659058260907
"RE1","PWRGAS",2029,256.118833513231
"RE1","PWRGAS",2030,263.802391172663
"RE1","PWRGAS",2031,271.716470658177
"RE1","PWRGAS",2032,279.867959655961
"RE1","PWRGAS",2033,288.263995210718
"RE1","PWRGAS",2034,296.91192328913
"RE1","PWRGAS",2035,305.819278561621
"RE1","PWRGAS",2036,314.993851796499
"RE1","PWRGAS",2037,324.443669641802
"RE1","PWRGAS",2038,334.17698114634
"RE1","PWRGAS",2039,344.202291456846
"RE1","PWRGAS",2040,354.528361818012
"RE1","PWRTRN",2020,11749.7855197881
"RE1","PWRTRN",2021,352.493565593643
"RE1","PWRTRN",2022,363.068372561453
"RE1","PWRTRN",2023,373.960423738298
"RE1","PWRTRN",2024,385.179236450447
"RE1","PWRTRN",2025,396.734610019022
