r,t,y,DiscountedSalvageValue
"RE1","MINCOA",2020,0
"RE1","MINCOA",2021,0
"RE1","MINCOA",2022,0
"RE1","MINCOA",2023,0
"RE1","MINCOA",2024,0
"RE1","MINCOA",2025,0
"RE1","MINCOA",2026,0
"RE1","MINCOA",2027,0
"RE1","MINCOA",2028,0
"RE1","MINCOA",2029,0
"RE1","MINCOA",2030,0
"RE1","MINCOA",2031,0
"RE1","MINCOA",2032,0
"RE1","MINCOA",2033,0
"RE1","MINCOA",2034,0
"RE1","MINCOA",2035,0
"RE1","MINCOA",2036,0
"RE1","MINCOA",2037,0
"RE1","MINCOA",2038,0
"RE1","MINCOA",2039,0
"RE1","MINCOA",2040,0
"RE1","MINGAS",2020,0.000178961892593073
"RE1","MINGAS",2021,5.83257301641746e-06
"RE1","MINGAS",2022,6.46243375527567e-06
"RE1","MINGAS",2023,7.10252586775942e-06
"RE1","MINGAS",2024,7.75332133219248e-06
"RE1","MINGAS",2025,8.41530306791508e-06
"RE1","MINGAS",2026,9.08896590097419e-06
"RE1","MINGAS",2027,9.7748149654246e-06
"RE1","MINGAS",2028,1.04733701106642e-05
"RE1","MINGAS",2029,1.11851616025997e-05
"RE1","MINGAS",2030,1.19107332125661e-05
"RE1","MINGAS",2031,1.26506437556716e-05
"RE1","MINGAS",2032,1.34054636255782e-05
"RE1","MINGAS",2033,1.4175779584385e-05
"RE1","MINGAS",2034,1.49621931682873e-05
"RE1","MINGAS",2035,1.57653197771202e-05
"RE1","MINGAS",2036,1.65857922094325e-05
"RE1","MINGAS",2037,1.7424259904617e-05
"RE1","MINGAS",2038,1.82813883720331e-05
"RE1","MINGAS",2039,1.91578611310985e-05
"RE1","MINGAS",2040,2.0054379905835e-05
"RE1","PWRCOA",2020,0
"RE1","PWRCOA",2021,0
"RE1","PWRCOA",2022,0
"RE1","PWRCOA",2023,0
"RE1","PWRCOA",2024,0
"RE1","PWRCOA",2025,0
"RE1","PWRCOA",2026,0
"RE1","PWRCOA",2027,0
"RE1","PWRCOA",2028,0
"RE1","PWRCOA",2029,0
"RE1","PWRCOA",2030,0
"RE1","PWRCOA",2031,0
"RE1","PWRCOA",2032,0
"RE1","PWRCOA",2033,0
"RE1","PWRCOA",2034,0
"RE1","PWRCOA",2035,0
"RE1","PWRCOA",2036,0
"RE1","PWRCOA",2037,0
"RE1","PWRCOA",2038,0
"RE1","PWRCOA",2039,0
"RE1","PWRCOA",2040,0
"RE1","PWRGAS",2020,1118.51182870671
"RE1","PWRGAS",2021,36.453581352609
"RE1","PWRGAS",2022,40.390210970473
"RE1","PWRGAS",2023,44.3907866734962
"RE1","PWRGAS",2024,48.458258326203
"RE1","PWRGAS",2025,52.5956441744693
"RE1","PWRGAS",2026,56.8060368810886
"RE1","PWRGAS",2027,61.0925935339039
"RE1","PWRGAS",2028,65.4585631916513
"RE1","PWRGAS",2029,69.9072600162478
"RE1","PWRGAS",2030,74.4420825785385
"RE1","PWRGAS",2031,79.0665234729476
"RE1","PWRGAS",2032,83.7841476598639
"RE1","PWRGAS",2033,88.5986224024061
"RE1","PWRGAS",2034,93.5137073017959
"RE1","PWRGAS",2035,98.5332486070008
"RE1","PWRGAS",2036,103.661201308954
"RE1","PWRGAS",2037,108.901624403856
"RE1","PWRGAS",2038,114.258677325207
"RE1","PWRGAS",2039,119.736632069366
"RE1","PWRGAS",2040,125.339874411468
"RE1","PWRTRN",2020,3497.90068648597
"RE1","PWRTRN",2021,106.540609664355
"RE1","PWRTRN",2022,111.309872470352
"RE1","PWRTRN",2023,116.192250407842
"RE1","PWRTRN",2024,121.191707649868
