r,l,t,m,y,RateOfActivity
"RE1","S11","MINCOA",1,2020,0
"RE1","S11","MINCOA",1,2021,0
"RE1","S11","MINCOA",1,2022,0
"RE1","S11","MINCOA",1,2023,0
"RE1","S11","MINCOA",1,2024,0
"RE1","S11","MINCOA",1,2025,0
"RE1","S11","MINCOA",1,2026,0
"RE1","S11","MINCOA",1,2027,0
"RE1","S11","MINCOA",1,2028,0
"RE1","S11","MINCOA",1,2029,0
"RE1","S11","MINCOA",1,2030,0
"RE1","S11","MINCOA",1,2031,0
"RE1","S11","MINCOA",1,2032,0
"RE1","S11","MINCOA",1,2033,0
"RE1","S11","MINCOA",1,2034,0
"RE1","S11","MINCOA",1,2035,0
"RE1","S11","MINCOA",1,2036,0
"RE1","S11","MINCOA",1,2037,0
"RE1","S11","MINCOA",1,2038,0
"RE1","S11","MINCOA",1,2039,0
"RE1","S11","MINCOA",1,2040,0
"RE1","S11","MINGAS",1,2020,0
"RE1","S11","MINGAS",1,2021,0
"RE1","S11","MINGAS",1,2022,0
"RE1","S11","MINGAS",1,2023,0
"RE1","S11","MINGAS",1,2024,0
"RE1","S11","MINGAS",1,2025,0
"RE1","S11","MINGAS",1,2026,0
"RE1","S11","MINGAS",1,2027,0
"RE1","S11","MINGAS",1,2028,0
"RE1","S11","MINGAS",1,2029,0
"RE1","S11","MINGAS",1,2030,0
"RE1","S11","MINGAS",1,2031,0
"RE1","S11","MINGAS",1,2032,0
"RE1","S11","MINGAS",1,2033,0
"RE1","S11","MINGAS",1,2034,0
"RE1","S11","MINGAS",1,2035,0
"RE1","S11","MINGAS",1,2036,0
"RE1","S11","MINGAS",1,2037,0
"RE1","S11","MINGAS",1,2038,0
"RE1","S11","MINGAS",1,2039,0
"RE1","S11","MINGAS",1,2040,0
"RE1","S11","PWRCOA",1,2020,0
"RE1","S11","PWRCOA",1,2021,0
"RE1","S11","PWRCOA",1,2022,0
"RE1","S11","PWRCOA",1,2023,0
"RE1","S11","PWRCOA",1,2024,0
"RE1","S11","PWRCOA",1,2025,0
"RE1","S11","PWRCOA",1,2026,0
"RE1","S11","PWRCOA",1,2027,0
"RE1","S11","PWRCOA",1,2028,0
"RE1","S11","PWRCOA",1,2029,0
"RE1","S11","PWRCOA",1,2030,0
"RE1","S11","PWRCOA",1,2031,0
"RE1","S11","PWRCOA",1,2032,0
"RE1","S11","PWRCOA",1,2033,0
"RE1","S11","PWRCOA",1,2034,0
"RE1","S11","PWRCOA",1,2035,0
"RE1","S11","PWRCOA",1,2036,0
"RE1","S11","PWRCOA",1,2037,0
"RE1","S11","PWRCOA",1,2038,0
"RE1","S11","PWRCOA",1,2039,0
"RE1","S11","PWRCOA",1,2040,0
"RE1","S11","PWRGAS",1,2020,0
"RE1","S11","PWRGAS",1,2021,0
"RE1","S11","PWRGAS",1,2022,0
"RE1","S11","PWRGAS",1,2023,0
"RE1","S11","PWRGAS",1,2024,0
"RE1","S11","PWRGAS",1,2025,0
"RE1","S11","PWRGAS",1,2026,0
"RE1","S11","PWRGAS",1,2027,0
"RE1","S11","PWRGAS",1,2028,0
"RE1","S11","PWRGAS",1,2029,0
"RE1","S11","PWRGAS",1,2030,0
"RE1","S11","PWRGAS",1,2031,0
"RE1","S11","PWRGAS",1,2032,0
"RE1","S11","PWRGAS",1,2033,0
"RE1","S11","PWRGAS",1,2034,0
"RE1","S11","PWRGAS",1,2035,0
"RE1","S11","PWRGAS",1,2036,0
"RE1","S11","PWRGAS",1,2037,0
"RE1","S11","PWRGAS",1,2038,0
"RE1","S11","PWRGAS",1,2039,0
"RE1","S11","PWRGAS",1,2040,0
"RE1","S11","PWRTRN",1,2020,55.4812834224599
"RE1","S11","PWRTRN",1,2021,57.1457219251337
"RE1","S11","PWRTRN",1,2022,58.8600935828877
"RE1","S11","PWRTRN",1,2023,60.6258963903743
"RE1","S11","PWRTRN",1,2024,62.4446732820855
"RE1","S11","PWRTRN",1,2025,64.3180134639037
"RE1","S11","PWRTRN",1,2026,66.2475539110962
"RE1","S11","PWRTRN",1,2027,68.2349804779411
"RE1","S11","PWRTRN",1,2028,70.2820298950535
"RE1","S11","PWRTRN",1,2029,72.3904908235294
"RE1","S11","PWRTRN",1,2030,74.562205519385
"RE1","S11","PWRTRN",1,2031,76.7990717199198
"RE1","S11","PWRTRN",1,2032,79.1030438643048
"RE1","S11","PWRTRN",1,2033,81.4761351463904
"RE1","S11","PWRTRN",1,2034,83.9204192346257
"RE1","S11","PWRTRN",1,2035,86.4380318255347
"RE1","S11","PWRTRN",1,2036,89.0311727520053
"RE1","S11","PWRTRN",1,2037,91.7021079251336
"RE1","S11","PWRTRN",1,2038,94.4531711651069
