r,t,y,NewCapacity
"RE1","MINCOA",2020,0
"RE1","MINCOA",2021,0
"RE1","MINCOA",2022,0
"RE1","MINCOA",2023,0
"RE1","MINCOA",2024,0
"RE1","MINCOA",2025,0
"RE1","MINCOA",2026,0
"RE1","MINCOA",2027,0
"RE1","MINCOA",2028,0
"RE1","MINCOA",2029,0
"RE1","MINCOA",2030,0
"RE1","MINCOA",2031,0
"RE1","MINCOA",2032,0
"RE1","MINCOA",2033,0
"RE1","MINCOA",2034,0
"RE1","MINCOA",2035,0
"RE1","MINCOA",2036,0
"RE1","MINCOA",2037,0
"RE1","MINCOA",2038,0
"RE1","MINCOA",2039,0
"RE1","MINCOA",2040,0
"RE1","MINGAS",2020,10.7830703619431
"RE1","MINGAS",2021,0.323492110858294
"RE1","MINGAS",2022,0.333196874184041
"RE1","MINGAS",2023,0.343192780409564
"RE1","MINGAS",2024,0.353488563821855
"RE1","MINGAS",2025,0.364093217501581
"RE1","MINGAS",2026,0.37501602567235
"RE1","MINGAS",2027,0.386266488219132
"RE1","MINGAS",2028,0.397854493217451
"RE1","MINGAS",2029,0.409790133621171
"RE1","MINGAS",2030,0.42208382587626
"RE1","MINGAS",2031,0.434746353053082
"RE1","MINGAS",2032,0.447788735449537
"RE1","MINGAS",2033,0.46122239233715
"RE1","MINGAS",2034,0.475059077262606
"RE1","MINGAS",2035,0.489310845698596
"RE1","MINGAS",2036,0.503990162874396
"RE1","MINGAS",2037,0.519109871426885
"RE1","MINGAS",2038,0.534683169834143
"RE1","MINGAS",2039,0.550723666330952
"RE1","MINGAS",2040,0.56724537890882
"RE1","PWRCOA",2020,0
"RE1","PWRCOA",2021,0
"RE1","PWRCOA",2022,0
"RE1","PWRCOA",2023,0
"RE1","PWRCOA",2024,0
"RE1","PWRCOA",2025,0
"RE1","PWRCOA",2026,0
"RE1","PWRCOA",2027,0
"RE1","PWRCOA",2028,0
"RE1","PWRCOA",2029,0
"RE1","PWRCOA",2030,0
"RE1","PWRCOA",2031,0
"RE1","PWRCOA",2032,0
"RE1","PWRCOA",2033,0
"RE1","PWRCOA",2034,0
"RE1","PWRCOA",2035,0
"RE1","PWRCOA",2036,0
"RE1","PWRCOA",2037,0
"RE1","PWRCOA",2038,0
"RE1","PWRCOA",2039,0
"RE1","PWRCOA",2040,0
"RE1","PWRGAS",2020,5.39153518097156
"RE1","PWRGAS",2021,0.161746055429147
"RE1","PWRGAS",2022,0.166598437092021
"RE1","PWRGAS",2023,0.171596390204782
"RE1","PWRGAS",2024,0.176744281910928
"RE1","PWRGAS",2025,0.182046608750791
"RE1","PWRGAS",2026,0.187508012836175
"RE1","PWRGAS",2027,0.193133244109566
"RE1","PWRGAS",2028,0.198927246608726
"RE1","PWRGAS",2029,0.204895066810585
"RE1","PWRGAS",2030,0.21104191293813
"RE1","PWRGAS",2031,0.217373176526541
"RE1","PWRGAS",2032,0.223894367724769
"RE1","PWRGAS",2033,0.230611196168574
"RE1","PWRGAS",2034,0.237529538631304
"RE1","PWRGAS",2035,0.244655422849297
"RE1","PWRGAS",2036,0.251995081437199
"RE1","PWRGAS",2037,0.259554935713442
"RE1","PWRGAS",2038,0.267341584917072
"RE1","PWRGAS",2039,0.275361833165477
"RE1","PWRGAS",2040,0.283622689454409
"RE1","PWRTRN",2020,7.83319034652542
"RE1","PWRTRN",2021,0.234995710395762
"RE1","PWRTRN",2022,0.242045581707635
"RE1","PWRTRN",2023,0.249306949158865
"RE1","PWRTRN",2024,0.256786157633631
"RE1","PWRTRN",2025,0.264489740012682
"RE1","PWRTRN",2026,0.272424440672908
