r,t,f,y,ProductionByTechnologyAnnual
RE1,MINCOA,COA,2020,0.0
RE1,MINCOA,COA,2021,0.0
RE1,MINCOA,COA,2022,0.0
RE1,MINCOA,COA,2023,0.0
RE1,MINCOA,COA,2024,0.0
RE1,MINCOA,COA,2025,0.0
RE1,MINCOA,COA,2026,0.0
RE1,MINCOA,COA,2027,0.0
RE1,MINCOA,COA,2028,0.0
RE1,MINCOA,COA,2029,0.0
RE1,MINCOA,COA,2030,0.0
RE1,MINCOA,COA,2031,0.0
RE1,MINCOA,COA,2032,0.0
RE1,MINCOA,COA,2033,0.0
RE1,MINCOA,COA,2034,0.0
RE1,MINCOA,COA,2035,0.0
RE1,MINCOA,COA,2036,0.0
RE1,MINCOA,COA,2037,0.0
RE1,MINCOA,COA,2038,0.0
RE1,MINCOA,COA,2039,0.0
RE1,MINCOA,COA,2040,0.0
RE1,MINGAS,GAS,2020,220.0
RE1,MINGAS,GAS,2021,226.6
RE1,MINGAS,GAS,2022,233.398
RE1,MINGAS,GAS,2023,240.3999
RE1,MINGAS,GAS,2024,247.6119
RE1,MINGAS,GAS,2025,255.0403
RE1,MINGAS,GAS,2026,262.6915
RE1,MINGAS,GAS,2027,270.5722
RE1,MINGAS,GAS,2028,278.6894
RE1,MINGAS,GAS,2029,287.0501
RE1,MINGAS,GAS,2030,295.6616
RE1,MINGAS,GAS,2031,304.5314
RE1,MINGAS,GAS,2032,313.6674
RE1,MINGAS,GAS,2033,323.0774
RE1,MINGAS,GAS,2034,332.7698
RE1,MINGAS,GAS,2035,342.7528
RE1,MINGAS,GAS,2036,353.0354
RE1,MINGAS,GAS,2037,363.6265
RE1,MINGAS,GAS,2038,374.5353
RE1,MINGAS,GAS,2039,385.7714
RE1,MINGAS,GAS,2040,397.3445
RE1,MINHYD,HYD,2020,0.0
RE1,MINHYD,HYD,2021,0.0
RE1,MINHYD,HYD,2022,0.0
RE1,MINHYD,HYD,2023,0.0
RE1,MINHYD,HYD,2024,0.0
RE1,MINHYD,HYD,2025,0.0
RE1,MINHYD,HYD,2026,0.0
RE1,MINHYD,HYD,2027,0.0
RE1,MINHYD,HYD,2028,0.0
