r,l,t,m,f,y,RateOfUseByTechnologyByMode
RE1,S11,PWRCOA,1,COA,2020,0.0
RE1,S11,PWRCOA,1,COA,2021,0.0
RE1,S11,PWRCOA,1,COA,2022,0.0
RE1,S11,PWRCOA,1,COA,2023,0.0
RE1,S11,PWRCOA,1,COA,2024,0.0
RE1,S11,PWRCOA,1,COA,2025,0.0
RE1,S11,PWRCOA,1,COA,2026,0.0
RE1,S11,PWRCOA,1,COA,2027,0.0
RE1,S11,PWRCOA,1,COA,2028,0.0
RE1,S11,PWRCOA,1,COA,2029,0.0
RE1,S11,PWRCOA,1,COA,2030,0.0
RE1,S11,PWRCOA,1,COA,2031,0.0
RE1,S11,PWRCOA,1,COA,2032,0.0
RE1,S11,PWRCOA,1,COA,2033,0.0
RE1,S11,PWRCOA,1,COA,2034,0.0
RE1,S11,PWRCOA,1,COA,2035,0.0
RE1,S11,PWRCOA,1,COA,2036,0.0
RE1,S11,PWRCOA,1,COA,2037,0.0
RE1,S11,PWRCOA,1,COA,2038,0.0
RE1,S11,PWRCOA,1,COA,2039,0.0
RE1,S11,PWRCOA,1,COA,2040,0.0
RE1,S11,PWRGAS,1,GAS,2020,160.0
RE1,S11,PWRGAS,1,GAS,2021,164.8
RE1,S11,PWRGAS,1,GAS,2022,169.744
RE1,S11,PWRGAS,1,GAS,2023,174.8363
RE1,S11,PWRGAS,1,GAS,2024,180.0814
RE1,S11,PWRGAS,1,GAS,2025,185.4838
RE1,S11,PWRGAS,1,GAS,2026,191.0484
RE1,S11,PWRGAS,1,GAS,2027,196.7798
RE1,S11,PWRGAS,1,GAS,2028,202.6832
RE1,S11,PWRGAS,1,GAS,2029,208.7637
RE1,S11,PWRGAS,1,GAS,2030,215.0266
RE1,S11,PWRGAS,1,GAS,2031,221.4774
RE1,S11,PWRGAS,1,GAS,2032,228.1217
RE1,S11,PWRGAS,1,GAS,2033,234.9654
RE1,S11,PWRGAS,1,GAS,2034,242.0144
RE1,S11,PWRGAS,1,GAS,2035,249.2748
RE1,S11,PWRGAS,1,GAS,2036,256.753
RE1,S11,PWRGAS,1,GAS,2037,264.4556
RE1,S11,PWRGAS,1,GAS,2038,272.3893
RE1,S11,PWRGAS,1,GAS,2039,280.561
RE1,S11,PWRGAS,1,GAS,2040,288.9778
RE1,S11,PWRHYD,1,HYD,2020,0.0
RE1,S11,PWRHYD,1,HYD,2021,0.0
RE1,S11,PWRHYD,1,HYD,2022,0.0
RE1,S11,PWRHYD,1,HYD,2023,0.0
RE1,S11,PWRHYD,1,HYD,2024,0.0
RE1,S11,PWRHYD,1,HYD,2025,0.0
RE1,S11,PWRHYD,1,HYD,2026,0.0
RE1,S11,PWRHYD,1,HYD,2027,0.0
RE1,S11,PWRHYD,1,HYD,2028,0.0
RE1,S11,PWRHYD,1,HYD,2029,0.0
RE1,S11,PWRHYD,1,HYD,2030,0.0
RE1,S11,PWRHYD,1,HYD,2031,0.0
RE1,S11,PWRHYD,1,HYD,2032,0.0
RE1,S11,PWRHYD,1,HYD,2033,0.0
RE1,S11,PWRHYD,1,HYD,2034,0.0
RE1,S11,PWRHYD,1,HYD,2035,0.0
RE1,S11,PWRHYD,1,HYD,2036,0.0
RE1,S11,PWRHYD,1,HYD,2037,0.0
RE1,S11,PWRHYD,1,HYD,2038,0.0
RE1,S11,PWRHYD,1,HYD,2039,0.0
RE1,S11,PWRHYD,1,HYD,2040,0.0
RE1,S11,PWRSOL,1,SOL,2020,0.0
RE1,S11,PWRSOL,1,SOL,2021,0.0
RE1,S11,PWRSOL,1,SOL,2022,0.0
RE1,S11,PWRSOL,1,SOL,2023,0.0
RE1,S11,PWRSOL,1,SOL,2024,0.0
RE1,S11,PWRSOL,1,SOL,2025,0.0
RE1,S11,PWRSOL,1,SOL,2026,0.0
RE1,S11,PWRSOL,1,SOL,2027,0.0
RE1,S11,PWRSOL,1,SOL,2028,0.0
RE1,S11,PWRSOL,1,SOL,2029,0.0
RE1,S11,PWRSOL,1,SOL,2030,0.0
RE1,S11,PWRSOL,1,SOL,2031,0.0
RE1,S11,PWRSOL,1,SOL,2032,0.0
RE1,S11,PWRSOL,1,SOL,2033,0.0
RE1,S11,PWRSOL,1,SOL,2034,0.0
RE1,S11,PWRSOL,1,SOL,2035,0.0
RE1,S11,PWRSOL,1,SOL,2036,0.0
RE1,S11,PWRSOL,1,SOL,2037,0.0
RE1,S11,PWRSOL,1,SOL,2038,0.0
RE1,S11,PWRSOL,1,SOL,2039,0.0
RE1,S11,PWRSOL,1,SOL,2040,0.0
RE1,S11,PWRTRN,1,ELC001,2020,80.0
RE1,S11,PWRTRN,1,ELC001,2021,82.4
RE1,S11,PWRTRN,1,ELC001,2022,84.872
RE1,S11,PWRTRN,1,ELC001,2023,87.4182
RE1,S11,PWRTRN,1,ELC001,2024,90.0407
RE1,S11,PWRTRN,1,ELC001,2025,92.7419
RE1,S11,PWRTRN,1,ELC001,2026,95.5242
RE1,S11,PWRTRN,1,ELC001,2027,98.3899
RE1,S11,PWRTRN,1,ELC001,2028,101.3416
RE1,S11,PWRTRN,1,ELC001,2029,104.3818
RE1,S11,PWRTRN,1,ELC001,2030,107.5133
RE1,S11,PWRTRN,1,ELC001,2031,110.7387
RE1,S11,PWRTRN,1,ELC001,2032,114.0609
RE1,S11,PWRTRN,1,ELC001,2033,117.4827
RE1,S11,PWRTRN,1,ELC001,2034,121.0072
RE1,S11,PWRTRN,1,ELC001,2035,124.6374
RE1,S11,PWRTRN,1,ELC001,2036,128.3765
RE1,S11,PWRTRN,1,ELC001,2037,132.2278
RE1,S11,PWRTRN,1,ELC001,2038,136.1946
RE1,S11,PWRTRN,1,ELC001,2039,140.2805
RE1,S11,PWRTRN,1,ELC001,2040,144.4889
RE1,S11,PWRWND,1,WND,2020,0.0
RE1,S11,PWRWND,1,WND,2021,0.0
RE1,S11,PWRWND,1,WND,2022,0.0
RE1,S11,PWRWND,1,WND,2023,0.0
RE1,S11,PWRWND,1,WND,2024,0.0
RE1,S11,PWRWND,1,WND,2025,0.0
RE1,S11,PWRWND,1,WND,2026,0.0
RE1,S11,PWRWND,1,WND,2027,0.0
RE1,S11,PWRWND,1,WND,2028,0.0
RE1,S11,PWRWND,1,WND,2029,0.0
RE1,S11,PWRWND,1,WND,2030,0.0
RE1,S11,PWRWND,1,WND,2031,0.0
RE1,S11,PWRWND,1,WND,2032,0.0
RE1,S11,PWRWND,1,WND,2033,0.0
RE1,S11,PWRWND,1,WND,2034,0.0
RE1,S11,PWRWND,1,WND,2035,0.0
RE1,S11,PWRWND,1,WND,2036,0.0
RE1,S11,PWRWND,1,WND,2037,0.0
RE1,S11,PWRWND,1,WND,2038,0.0
RE1,S11,PWRWND,1,WND,2039,0.0
RE1,S11,PWRWND,1,WND,2040,0.0
RE1,S12,PWRCOA,1,COA,2020,0.0
RE1,S12,PWRCOA,1,COA,2021,0.0
RE1,S12,PWRCOA,1,COA,2022,0.0
RE1,S12,PWRCOA,1,COA,2023,0.0
RE1,S12,PWRCOA,1,COA,2024,0.0
RE1,S12,PWRCOA,1,COA,2025,0.0
RE1,S12,PWRCOA,1,COA,2026,0.0
RE1,S12,PWRCOA,1,COA,2027,0.0
RE1,S12,PWRCOA,1,COA,2028,0.0
RE1,S12,PWRCOA,1,COA,2029,0.0
RE1,S12,PWRCOA,1,COA,2030,0.0
RE1,S12,PWRCOA,1,COA,2031,0.0
RE1,S12,PWRCOA,1,COA,2032,0.0
RE1,S12,PWRCOA,1,COA,2033,0.0
RE1,S12,PWRCOA,1,COA,2034,0.0
RE1,S12,PWRCOA,1,COA,2035,0.0
RE1,S12,PWRCOA,1,COA,2036,0.0
RE1,S12,PWRCOA,1,COA,2037,0.0
RE1,S12,PWRCOA,1,COA,2038,0.0
RE1,S12,PWRCOA,1,COA,2039,0.0
RE1,S12,PWRCOA,1,COA,2040,0.0
RE1,S12,PWRGAS,1,GAS,2020,80.0
RE1,S12,PWRGAS,1,GAS,2021,82.4
RE1,S12,PWRGAS,1,GAS,2022,84.872
RE1,S12,PWRGAS,1,GAS,2023,87.4182
RE1,S12,PWRGAS,1,GAS,2024,90.0407
RE1,S12,PWRGAS,1,GAS,2025,92.7419
RE1,S12,PWRGAS,1,GAS,2026,95.5242
RE1,S12,PWRGAS,1,GAS,2027,98.3899
RE1,S12,PWRGAS,1,GAS,2028,101.3416
RE1,S12,PWRGAS,1,GAS,2029,104.3818
RE1,S12,PWRGAS,1,GAS,2030,107.5133
RE1,S12,PWRGAS,1,GAS,2031,110.7387
RE1,S12,PWRGAS,1,GAS,2032,114.0609
RE1,S12,PWRGAS,1,GAS,2033,117.4827
RE1,S12,PWRGAS,1,GAS,2034,121.0072
RE1,S12,PWRGAS,1,GAS,2035,124.6374
RE1,S12,PWRGAS,1,GAS,2036,128.3765
RE1,S12,PWRGAS,1,GAS,2037,132.2278
RE1,S12,PWRGAS,1,GAS,2038,136.1946
RE1,S12,PWRGAS,1,GAS,2039,140.2805
RE1,S12,PWRGAS,1,GAS,2040,144.4889
