r,t,y,DiscountedSalvageValue
RE1,MINCOA,2020,0.0
RE1,MINCOA,2021,0.0
RE1,MINCOA,2022,0.0
RE1,MINCOA,2023,0.0
RE1,MINCOA,2024,0.0
RE1,MINCOA,2025,0.0
RE1,MINCOA,2026,0.0
RE1,MINCOA,2027,0.0
RE1,MINCOA,2028,0.0
RE1,MINCOA,2029,0.0
RE1,MINCOA,2030,0.0
RE1,MINCOA,2031,0.0
RE1,MINCOA,2032,0.0
RE1,MINCOA,2033,0.0
RE1,MINCOA,2034,0.0
RE1,MINCOA,2035,0.0
RE1,MINCOA,2036,0.0
RE1,MINCOA,2037,0.0
RE1,MINCOA,2038,0.0
RE1,MINCOA,2039,0.0
RE1,MINCOA,2040,0.0
RE1,MINGAS,2020,0.0002
RE1,MINGAS,2021,0.0
RE1,MINGAS,2022,0.0
RE1,MINGAS,2023,0.0
RE1,MINGAS,2024,0.0
RE1,MINGAS,2025,0.0
RE1,MINGAS,2026,0.0
RE1,MINGAS,2027,0.0
RE1,MINGAS,2028,0.0
RE1,MINGAS,2029,0.0
RE1,MINGAS,2030,0.0
RE1,MINGAS,2031,0.0
RE1,MINGAS,2032,0.0
RE1,MINGAS,2033,0.0
RE1,MINGAS,2034,0.0
RE1,MINGAS,2035,0.0
RE1,MINGAS,2036,0.0
RE1,MINGAS,2037,0.0
RE1,MINGAS,2038,0.0
RE1,MINGAS,2039,0.0
RE1,MINGAS,2040,0.0
RE1,MINHYD,2020,0.0
RE1,MINHYD,2021,0.0
RE1,MINHYD,2022,0.0
RE1,MINHYD,2023,0.0
RE1,MINHYD,2024,0.0
RE1,MINHYD,2025,0.0
RE1,MINHYD,2026,0.0
RE1,MINHYD,2027,0.0
RE1,MINHYD,2028,0.0
RE1,MINHYD,2029,0.0
RE1,MINHYD,2030,0.0
RE1,MINHYD,2031,0.0
RE1,MINHYD,2032,0.0
RE1,MINHYD,2033,0.0
RE1,MINHYD,2034,0.0
RE1,MINHYD,2035,0.0
RE1,MINHYD,2036,0.0
RE1,MINHYD,2037,0.0
RE1,MINHYD,2038,0.0
RE1,MINHYD,2039,0.0
RE1,MINHYD,2040,0.0
RE1,MINSOL,2020,0.0
RE1,MINSOL,2021,0.0
RE1,MINSOL,2022,0.0
RE1,MINSOL,2023,0.0
RE1,MINSOL,2024,0.0
RE1,MINSOL,2025,0.0
RE1,MINSOL,2026,0.0
RE1,MINSOL,2027,0.0
RE1,MINSOL,2028,0.0
RE1,MINSOL,2029,0.0
RE1,MINSOL,2030,0.0
RE1,MINSOL,2031,0.0
RE1,MINSOL,2032,0.0
RE1,MINSOL,2033,0.0
RE1,MINSOL,2034,0.0
RE1,MINSOL,2035,0.0
RE1,MINSOL,2036,0.0
RE1,MINSOL,2037,0.0
RE1,MINSOL,2038,0.0
RE1,MINSOL,2039,0.0
RE1,MINSOL,2040,0.0
RE1,MINWND,2020,0.0
RE1,MINWND,2021,0.0
RE1,MINWND,2022,0.0
RE1,MINWND,2023,0.0
RE1,MINWND,2024,0.0
RE1,MINWND,2025,0.0
RE1,MINWND,2026,0.0
RE1,MINWND,2027,0.0
RE1,MINWND,2028,0.0
RE1,MINWND,2029,0.0
RE1,MINWND,2030,0.0
RE1,MINWND,2031,0.0
RE1,MINWND,2032,0.0
RE1,MINWND,2033,0.0
RE1,MINWND,2034,0.0
RE1,MINWND,2035,0.0
RE1,MINWND,2036,0.0
RE1,MINWND,2037,0.0
RE1,MINWND,2038,0.0
RE1,MINWND,2039,0.0
RE1,MINWND,2040,0.0
RE1,PWRCOA,2020,0.0
RE1,PWRCOA,2021,0.0
RE1,PWRCOA,2022,0.0
RE1,PWRCOA,2023,0.0
RE1,PWRCOA,2024,0.0
RE1,PWRCOA,2025,0.0
RE1,PWRCOA,2026,0.0
RE1,PWRCOA,2027,0.0
RE1,PWRCOA,2028,0.0
RE1,PWRCOA,2029,0.0
RE1,PWRCOA,2030,0.0
RE1,PWRCOA,2031,0.0
RE1,PWRCOA,2032,0.0
RE1,PWRCOA,2033,0.0
RE1,PWRCOA,2034,0.0
RE1,PWRCOA,2035,0.0
RE1,PWRCOA,2036,0.0
RE1,PWRCOA,2037,0.0
RE1,PWRCOA,2038,0.0
RE1,PWRCOA,2039,0.0
RE1,PWRCOA,2040,0.0
RE1,PWRGAS,2020,1118.5118
RE1,PWRGAS,2021,36.4536
RE1,PWRGAS,2022,40.3902
RE1,PWRGAS,2023,44.3908
RE1,PWRGAS,2024,48.4583
RE1,PWRGAS,2025,52.5956
RE1,PWRGAS,2026,56.806
RE1,PWRGAS,2027,61.0926
RE1,PWRGAS,2028,65.4586
RE1,PWRGAS,2029,69.9073
RE1,PWRGAS,2030,74.4421
RE1,PWRGAS,2031,79.0665
RE1,PWRGAS,2032,83.7841
RE1,PWRGAS,2033,88.5986
RE1,PWRGAS,2034,93.5137
RE1,PWRGAS,2035,98.5332
RE1,PWRGAS,2036,103.6612
RE1,PWRGAS,2037,108.9016
RE1,PWRGAS,2038,114.2587
RE1,PWRGAS,2039,119.7366
RE1,PWRGAS,2040,125.3399
RE1,PWRHYD,2020,5575.0356
RE1,PWRHYD,2021,167.7254
RE1,PWRHYD,2022,173.2225
RE1,PWRHYD,2023,178.8756
RE1,PWRHYD,2024,184.6897
RE1,PWRHYD,2025,190.6696
RE1,PWRHYD,2026,196.8206
RE1,PWRHYD,2027,203.1478
RE1,PWRHYD,2028,209.6569
RE1,PWRHYD,2029,216.3533
RE1,PWRHYD,2030,223.2429
RE1,PWRHYD,2031,230.3315
RE1,PWRHYD,2032,237.6254
RE1,PWRHYD,2033,245.1308
RE1,PWRHYD,2034,252.8541
RE1,PWRHYD,2035,260.8021
RE1,PWRHYD,2036,268.9817
RE1,PWRHYD,2037,277.3998
RE1,PWRHYD,2038,286.0639
RE1,PWRHYD,2039,294.9814
RE1,PWRHYD,2040,304.16
RE1,PWRSOL,2020,0.0
RE1,PWRSOL,2021,0.0
RE1,PWRSOL,2022,1.2359
RE1,PWRSOL,2023,2.4854
RE1,PWRSOL,2024,3.7493
RE1,PWRSOL,2025,5.0284
RE1,PWRSOL,2026,6.3236
RE1,PWRSOL,2027,7.636
RE1,PWRSOL,2028,8.9663
RE1,PWRSOL,2029,10.3155
RE1,PWRSOL,2030,11.6847
RE1,PWRSOL,2031,13.0747
RE1,PWRSOL,2032,14.4867
RE1,PWRSOL,2033,15.9216
RE1,PWRSOL,2034,17.3804
RE1,PWRSOL,2035,18.8644
RE1,PWRSOL,2036,20.3745
RE1,PWRSOL,2037,21.912
RE1,PWRSOL,2038,23.4779
RE1,PWRSOL,2039,25.0735
RE1,PWRSOL,2040,534.2549
RE1,PWRTRN,2020,3497.9007
RE1,PWRTRN,2021,106.5406
RE1,PWRTRN,2022,111.3099
RE1,PWRTRN,2023,116.1922
RE1,PWRTRN,2024,121.1917
RE1,PWRTRN,2025,126.3123
RE1,PWRTRN,2026,131.5583
RE1,PWRTRN,2027,136.9338
RE1,PWRTRN,2028,142.4435
RE1,PWRTRN,2029,148.0917
RE1,PWRTRN,2030,153.8832
RE1,PWRTRN,2031,159.8227
RE1,PWRTRN,2032,165.9152
RE1,PWRTRN,2033,172.1658
RE1,PWRTRN,2034,178.5796
RE1,PWRTRN,2035,185.1621
RE1,PWRTRN,2036,191.9187
RE1,PWRTRN,2037,198.8551
RE1,PWRTRN,2038,205.9772
RE1,PWRTRN,2039,213.2909
RE1,PWRTRN,2040,220.8024
RE1,PWRWND,2020,0.0
RE1,PWRWND,2021,0.0
RE1,PWRWND,2022,0.0
RE1,PWRWND,2023,0.0
RE1,PWRWND,2024,0.0
RE1,PWRWND,2025,0.0
RE1,PWRWND,2026,0.0
RE1,PWRWND,2027,0.0
RE1,PWRWND,2028,0.0
RE1,PWRWND,2029,0.0
RE1,PWRWND,2030,0.0
RE1,PWRWND,2031,0.0
RE1,PWRWND,2032,0.0
RE1,PWRWND,2033,0.0
RE1,PWRWND,2034,0.0
