r,t,y,DiscountedTechnologyEmissionsPenalty
RE1,MINCOA,2020,0
RE1,MINCOA,2021,0
RE1,MINCOA,2022,0
RE1,MINCOA,2023,0
RE1,MINCOA,2024,0
RE1,MINCOA,2025,0
RE1,MINCOA,2026,0
RE1,MINCOA,2027,0
RE1,MINCOA,2028,0
RE1,MINCOA,2029,0
RE1,MINCOA,2030,0
RE1,MINCOA,2031,0
RE1,MINCOA,2032,0
RE1,MINCOA,2033,0
RE1,MINCOA,2034,0
RE1,MINCOA,2035,0
RE1,MINCOA,2036,0
RE1,MINCOA,2037,0
RE1,MINCOA,2038,0
RE1,MINCOA,2039,0
RE1,MINCOA,2040,0
RE1,MINGAS,2020,0
RE1,MINGAS,2021,0
RE1,MINGAS,2022,0
RE1,MINGAS,2023,0
RE1,MINGAS,2024,0
RE1,MINGAS,2025,0
RE1,MINGAS,2026,0
RE1,MINGAS,2027,0
RE1,MINGAS,2028,0
RE1,MINGAS,2029,0
RE1,MINGAS,2030,0
RE1,MINGAS,2031,0
RE1,MINGAS,2032,0
RE1,MINGAS,2033,0
RE1,MINGAS,2034,0
RE1,MINGAS,2035,0
RE1,MINGAS,2036,0
RE1,MINGAS,2037,0
RE1,MINGAS,2038,0
RE1,MINGAS,2039,0
RE1,MINGAS,2040,0
RE1,MINHYD,2020,0
RE1,MINHYD,2021,0
RE1,MINHYD,2022,0
RE1,MINHYD,2023,0
RE1,MINHYD,2024,0
RE1,MINHYD,2025,0
RE1,MINHYD,2026,0
RE1,MINHYD,2027,0
RE1,MINHYD,2028,0
RE1,MINHYD,2029,0
RE1,MINHYD,2030,0
RE1,MINHYD,2031,0
RE1,MINHYD,2032,0
RE1,MINHYD,2033,0
RE1,MINHYD,2034,0
RE1,MINHYD,2035,0
RE1,MINHYD,2036,0
RE1,MINHYD,2037,0
RE1,MINHYD,2038,0
RE1,MINHYD,2039,0
RE1,MINHYD,2040,0
RE1,MINSOL,2020,0
RE1,MINSOL,2021,0
RE1,MINSOL,2022,0
RE1,MINSOL,2023,0
RE1,MINSOL,2024,0
RE1,MINSOL,2025,0
RE1,MINSOL,2026,0
RE1,MINSOL,2027,0
RE1,MINSOL,2028,0
RE1,MINSOL,2029,0
RE1,MINSOL,2030,0
RE1,MINSOL,2031,0
RE1,MINSOL,2032,0
RE1,MINSOL,2033,0
RE1,MINSOL,2034,0
RE1,MINSOL,2035,0
RE1,MINSOL,2036,0
RE1,MINSOL,2037,0
RE1,MINSOL,2038,0
RE1,MINSOL,2039,0
RE1,MINSOL,2040,0
RE1,MINWND,2020,0
RE1,MINWND,2021,0
RE1,MINWND,2022,0
RE1,MINWND,2023,0
RE1,MINWND,2024,0
RE1,MINWND,2025,0
RE1,MINWND,2026,0
RE1,MINWND,2027,0
RE1,MINWND,2028,0
RE1,MINWND,2029,0
RE1,MINWND,2030,0
RE1,MINWND,2031,0
RE1,MINWND,2032,0
RE1,MINWND,2033,0
RE1,MINWND,2034,0
RE1,MINWND,2035,0
RE1,MINWND,2036,0
RE1,MINWND,2037,0
RE1,MINWND,2038,0
RE1,MINWND,2039,0
RE1,MINWND,2040,0
RE1,PWRCOA,2020,0
RE1,PWRCOA,2021,0
RE1,PWRCOA,2022,0
RE1,PWRCOA,2023,0
RE1,PWRCOA,2024,0
RE1,PWRCOA,2025,0
RE1,PWRCOA,2026,0
RE1,PWRCOA,2027,0
RE1,PWRCOA,2028,0
RE1,PWRCOA,2029,0
RE1,PWRCOA,2030,0
RE1,PWRCOA,2031,0
RE1,PWRCOA,2032,0
RE1,PWRCOA,2033,0
RE1,PWRCOA,2034,0
