r,t,y,TotalCapacityAnnual
RE1,MINCOA,2020,0.0
RE1,MINCOA,2021,0.0
RE1,MINCOA,2022,0.0
RE1,MINCOA,2023,0.0
RE1,MINCOA,2024,0.0
RE1,MINCOA,2025,0.0
RE1,MINCOA,2026,0.0
RE1,MINCOA,2027,0.0
RE1,MINCOA,2028,0.0
RE1,MINCOA,2029,0.0
RE1,MINCOA,2030,0.0
RE1,MINCOA,2031,0.0
RE1,MINCOA,2032,0.0
RE1,MINCOA,2033,0.0
RE1,MINCOA,2034,0.0
RE1,MINCOA,2035,0.0
RE1,MINCOA,2036,0.0
RE1,MINCOA,2037,0.0
RE1,MINCOA,2038,0.0
RE1,MINCOA,2039,0.0
RE1,MINCOA,2040,0.0
RE1,MINGAS,2020,10.7831
RE1,MINGAS,2021,11.1066
RE1,MINGAS,2022,11.4398
RE1,MINGAS,2023,11.783
RE1,MINGAS,2024,12.1364
RE1,MINGAS,2025,12.5005
RE1,MINGAS,2026,12.8756
RE1,MINGAS,2027,13.2618
RE1,MINGAS,2028,13.6597
RE1,MINGAS,2029,14.0695
RE1,MINGAS,2030,14.4915
RE1,MINGAS,2031,14.9263
RE1,MINGAS,2032,15.3741
RE1,MINGAS,2033,15.8353
RE1,MINGAS,2034,16.3104
RE1,MINGAS,2035,16.7997
RE1,MINGAS,2036,17.3037
RE1,MINGAS,2037,17.8228
RE1,MINGAS,2038,18.3575
RE1,MINGAS,2039,18.9082
RE1,MINGAS,2040,19.4754
RE1,MINHYD,2020,5.8247
RE1,MINHYD,2021,5.8247
RE1,MINHYD,2022,5.8247
RE1,MINHYD,2023,5.8247
RE1,MINHYD,2024,5.8247
RE1,MINHYD,2025,5.8247
RE1,MINHYD,2026,5.8247
RE1,MINHYD,2027,5.8247
RE1,MINHYD,2028,5.8247
RE1,MINHYD,2029,5.8247
RE1,MINHYD,2030,5.8247
RE1,MINHYD,2031,5.8247
RE1,MINHYD,2032,5.8247
RE1,MINHYD,2033,5.8247
RE1,MINHYD,2034,5.8247
RE1,MINHYD,2035,5.8247
RE1,MINHYD,2036,5.8247
RE1,MINHYD,2037,5.8247
RE1,MINHYD,2038,5.8247
RE1,MINHYD,2039,5.8247
RE1,MINHYD,2040,5.8247
RE1,MINSOL,2020,0.5468
RE1,MINSOL,2021,0.5632
RE1,MINSOL,2022,0.5801
RE1,MINSOL,2023,0.5975
RE1,MINSOL,2024,0.6154
RE1,MINSOL,2025,0.6339
RE1,MINSOL,2026,0.6529
RE1,MINSOL,2027,0.6725
RE1,MINSOL,2028,0.6927
RE1,MINSOL,2029,0.7134
RE1,MINSOL,2030,0.7348
RE1,MINSOL,2031,0.7569
RE1,MINSOL,2032,0.7796
RE1,MINSOL,2033,0.803
RE1,MINSOL,2034,0.8271
RE1,MINSOL,2035,0.8519
RE1,MINSOL,2036,0.8774
RE1,MINSOL,2037,0.9038
RE1,MINSOL,2038,0.9309
RE1,MINSOL,2039,0.9588
RE1,MINSOL,2040,0.9876
RE1,MINWND,2020,0.0
RE1,MINWND,2021,0.0
RE1,MINWND,2022,0.0
RE1,MINWND,2023,0.0
RE1,MINWND,2024,0.0
RE1,MINWND,2025,0.0
RE1,MINWND,2026,0.0
RE1,MINWND,2027,0.0
RE1,MINWND,2028,0.0
RE1,MINWND,2029,0.0
RE1,MINWND,2030,0.0
RE1,MINWND,2031,0.0
RE1,MINWND,2032,0.0
RE1,MINWND,2033,0.0
RE1,MINWND,2034,0.0
RE1,MINWND,2035,0.0
RE1,MINWND,2036,0.0
RE1,MINWND,2037,0.0
RE1,MINWND,2038,0.0
RE1,MINWND,2039,0.0
RE1,MINWND,2040,0.0
RE1,PWRCOA,2020,0.0
RE1,PWRCOA,2021,0.0
RE1,PWRCOA,2022,0.0
RE1,PWRCOA,2023,0.0
RE1,PWRCOA,2024,0.0
RE1,PWRCOA,2025,0.0
RE1,PWRCOA,2026,0.0
RE1,PWRCOA,2027,0.0
RE1,PWRCOA,2028,0.0
RE1,PWRCOA,2029,0.0
RE1,PWRCOA,2030,0.0
RE1,PWRCOA,2031,0.0
RE1,PWRCOA,2032,0.0
RE1,PWRCOA,2033,0.0
RE1,PWRCOA,2034,0.0
RE1,PWRCOA,2035,0.0
RE1,PWRCOA,2036,0.0
RE1,PWRCOA,2037,0.0
RE1,PWRCOA,2038,0.0
RE1,PWRCOA,2039,0.0
RE1,PWRCOA,2040,0.0
RE1,PWRGAS,2020,5.3915
RE1,PWRGAS,2021,5.5533
RE1,PWRGAS,2022,5.7199
RE1,PWRGAS,2023,5.8915
RE1,PWRGAS,2024,6.0682
RE1,PWRGAS,2025,6.2503
RE1,PWRGAS,2026,6.4378
RE1,PWRGAS,2027,6.6309
RE1,PWRGAS,2028,6.8298
RE1,PWRGAS,2029,7.0347
RE1,PWRGAS,2030,7.2458
RE1,PWRGAS,2031,7.4631
RE1,PWRGAS,2032,7.687
RE1,PWRGAS,2033,7.9177
RE1,PWRGAS,2034,8.1552
RE1,PWRGAS,2035,8.3998
RE1,PWRGAS,2036,8.6518
RE1,PWRGAS,2037,8.9114
RE1,PWRGAS,2038,9.1787
RE1,PWRGAS,2039,9.4541
RE1,PWRGAS,2040,9.7377
RE1,PWRHYD,2020,6.4499
RE1,PWRHYD,2021,6.6434
RE1,PWRHYD,2022,6.8428
RE1,PWRHYD,2023,7.048
RE1,PWRHYD,2024,7.2595
RE1,PWRHYD,2025,7.4773
RE1,PWRHYD,2026,7.7016
RE1,PWRHYD,2027,7.9326
RE1,PWRHYD,2028,8.1706
RE1,PWRHYD,2029,8.4157
RE1,PWRHYD,2030,8.6682
RE1,PWRHYD,2031,8.9282
RE1,PWRHYD,2032,9.1961
RE1,PWRHYD,2033,9.472
RE1,PWRHYD,2034,9.7561
RE1,PWRHYD,2035,10.0488
RE1,PWRHYD,2036,10.3503
RE1,PWRHYD,2037,10.6608
RE1,PWRHYD,2038,10.9806
RE1,PWRHYD,2039,11.31
RE1,PWRHYD,2040,11.6493
RE1,PWRSOL,2020,1.2151
RE1,PWRSOL,2021,1.2516
RE1,PWRSOL,2022,1.2891
RE1,PWRSOL,2023,1.3278
RE1,PWRSOL,2024,1.3676
RE1,PWRSOL,2025,1.4086
RE1,PWRSOL,2026,1.4509
RE1,PWRSOL,2027,1.4944
RE1,PWRSOL,2028,1.5393
RE1,PWRSOL,2029,1.5854
RE1,PWRSOL,2030,1.633
RE1,PWRSOL,2031,1.682
RE1,PWRSOL,2032,1.7324
RE1,PWRSOL,2033,1.7844
RE1,PWRSOL,2034,1.838
RE1,PWRSOL,2035,1.8931
RE1,PWRSOL,2036,1.9499
RE1,PWRSOL,2037,2.0084
RE1,PWRSOL,2038,2.0686
RE1,PWRSOL,2039,2.1307
RE1,PWRSOL,2040,2.1946
RE1,PWRTRN,2020,7.8332
RE1,PWRTRN,2021,8.0682
RE1,PWRTRN,2022,8.3102
RE1,PWRTRN,2023,8.5595
RE1,PWRTRN,2024,8.8163
RE1,PWRTRN,2025,9.0808
RE1,PWRTRN,2026,9.3532
RE1,PWRTRN,2027,9.6338
RE1,PWRTRN,2028,9.9229
RE1,PWRTRN,2029,10.2205
RE1,PWRTRN,2030,10.5272
RE1,PWRTRN,2031,10.843
RE1,PWRTRN,2032,11.1683
RE1,PWRTRN,2033,11.5033
RE1,PWRTRN,2034,11.8484
RE1,PWRTRN,2035,12.2039
RE1,PWRTRN,2036,12.57
RE1,PWRTRN,2037,12.9471
RE1,PWRTRN,2038,13.3355
RE1,PWRTRN,2039,13.7355
RE1,PWRTRN,2040,14.1476
RE1,PWRWND,2020,0.0
RE1,PWRWND,2021,0.0
RE1,PWRWND,2022,0.0
RE1,PWRWND,2023,0.0
RE1,PWRWND,2024,0.0
RE1,PWRWND,2025,0.0
RE1,PWRWND,2026,0.0
RE1,PWRWND,2027,0.0
RE1,PWRWND,2028,0.0
RE1,PWRWND,2029,0.0
RE1,PWRWND,2030,0.0
RE1,PWRWND,2031,0.0
