r,l,t,f,y,UseByTechnology
RE1,S11,PWRCOA,COA,2020,0.0
RE1,S11,PWRCOA,COA,2021,0.0
RE1,S11,PWRCOA,COA,2022,0.0
RE1,S11,PWRCOA,COA,2023,0.0
RE1,S11,PWRCOA,COA,2024,0.0
RE1,S11,PWRCOA,COA,2025,0.0
RE1,S11,PWRCOA,COA,2026,0.0
RE1,S11,PWRCOA,COA,2027,0.0
RE1,S11,PWRCOA,COA,2028,0.0
RE1,S11,PWRCOA,COA,2029,0.0
RE1,S11,PWRCOA,COA,2030,0.0
RE1,S11,PWRCOA,COA,2031,0.0
RE1,S11,PWRCOA,COA,2032,0.0
RE1,S11,PWRCOA,COA,2033,0.0
RE1,S11,PWRCOA,COA,2034,0.0
RE1,S11,PWRCOA,COA,2035,0.0
RE1,S11,PWRCOA,COA,2036,0.0
RE1,S11,PWRCOA,COA,2037,0.0
RE1,S11,PWRCOA,COA,2038,0.0
RE1,S11,PWRCOA,COA,2039,0.0
RE1,S11,PWRCOA,COA,2040,0.0
RE1,S11,PWRGAS,GAS,2020,0.0
RE1,S11,PWRGAS,GAS,2021,0.0
RE1,S11,PWRGAS,GAS,2022,0.0
RE1,S11,PWRGAS,GAS,2023,0.0
RE1,S11,PWRGAS,GAS,2024,0.0
RE1,S11,PWRGAS,GAS,2025,0.0
RE1,S11,PWRGAS,GAS,2026,0.0
RE1,S11,PWRGAS,GAS,2027,0.0
RE1,S11,PWRGAS,GAS,2028,0.0
RE1,S11,PWRGAS,GAS,2029,0.0
RE1,S11,PWRGAS,GAS,2030,0.0
RE1,S11,PWRGAS,GAS,2031,0.0
RE1,S11,PWRGAS,GAS,2032,0.0
RE1,S11,PWRGAS,GAS,2033,0.0
RE1,S11,PWRGAS,GAS,2034,0.0
RE1,S11,PWRGAS,GAS,2035,0.0
RE1,S11,PWRGAS,GAS,2036,0.0
RE1,S11,PWRGAS,GAS,2037,0.0
RE1,S11,PWRGAS,GAS,2038,0.0
RE1,S11,PWRGAS,GAS,2039,0.0
RE1,S11,PWRGAS,GAS,2040,0.0
RE1,S11,PWRHYD,HYD,2020,26.8529
RE1,S11,PWRHYD,HYD,2021,27.6585
RE1,S11,PWRHYD,HYD,2022,28.4883
RE1,S11,PWRHYD,HYD,2023,29.3429
RE1,S11,PWRHYD,HYD,2024,30.2232
RE1,S11,PWRHYD,HYD,2025,31.1299
RE1,S11,PWRHYD,HYD,2026,32.0638
RE1,S11,PWRHYD,HYD,2027,33.0257
RE1,S11,PWRHYD,HYD,2028,34.0165
RE1,S11,PWRHYD,HYD,2029,35.037
RE1,S11,PWRHYD,HYD,2030,36.0881
RE1,S11,PWRHYD,HYD,2031,37.1708
RE1,S11,PWRHYD,HYD,2032,38.2859
RE1,S11,PWRHYD,HYD,2033,39.4344
RE1,S11,PWRHYD,HYD,2034,40.6175
RE1,S11,PWRHYD,HYD,2035,41.836
RE1,S11,PWRHYD,HYD,2036,43.0911
RE1,S11,PWRHYD,HYD,2037,44.3838
RE1,S11,PWRHYD,HYD,2038,45.7153
RE1,S11,PWRHYD,HYD,2039,47.0868
RE1,S11,PWRHYD,HYD,2040,48.4994
RE1,S11,PWRSOL,SOL,2020,7.5882
RE1,S11,PWRSOL,SOL,2021,7.8159
RE1,S11,PWRSOL,SOL,2022,8.0504
RE1,S11,PWRSOL,SOL,2023,8.2919
RE1,S11,PWRSOL,SOL,2024,8.5406
RE1,S11,PWRSOL,SOL,2025,8.7968
RE1,S11,PWRSOL,SOL,2026,9.0607
RE1,S11,PWRSOL,SOL,2027,9.3326
RE1,S11,PWRSOL,SOL,2028,9.6125
RE1,S11,PWRSOL,SOL,2029,9.9009
RE1,S11,PWRSOL,SOL,2030,10.198
RE1,S11,PWRSOL,SOL,2031,10.5039
