r,t,y,SalvageValue
RE1,MINCOA,2020,0.0151
RE1,MINCOA,2021,0.0027
RE1,MINGAS,2020,0.005
RE1,MINGAS,2021,0.003
RE1,MINGAS,2022,0.0032
RE1,MINGAS,2023,0.0034
RE1,MINGAS,2024,0.0027
RE1,MINGAS,2025,0.0028
RE1,MINGAS,2028,0.0021
RE1,MINGAS,2029,0.0045
RE1,MINGAS,2030,0.015
RE1,MINGAS,2031,0.0053
RE1,MINGAS,2032,0.006
RE1,MINGAS,2033,0.0065
RE1,MINGAS,2034,0.0072
RE1,MINGAS,2035,0.0077
RE1,PWRGAS,2027,402.5296
RE1,PWRGAS,2028,596.7742
RE1,PWRGAS,2029,685.0151
RE1,PWRGAS,2030,2276.8363
RE1,PWRGAS,2031,1605.1259
RE1,PWRGAS,2032,909.344
RE1,PWRGAS,2033,979.0459
RE1,PWRGAS,2034,1090.2783
RE1,PWRGAS,2035,1168.0962
RE1,PWRTRN,2022,435.5332
RE1,PWRTRN,2023,1419.6322
RE1,PWRTRN,2024,1438.3489
RE1,PWRTRN,2025,1550.1989
RE1,PWRTRN,2026,1753.3551
RE1,PWRTRN,2027,1778.6699
RE1,PWRTRN,2028,1899.0788
RE1,PWRTRN,2029,2114.224
RE1,PWRTRN,2030,2239.4438
RE1,PWRTRN,2031,2356.9868
RE1,PWRTRN,2032,2585.2857
RE1,PWRTRN,2033,2720.1736
RE1,PWRTRN,2034,2957.8919
RE1,PWRTRN,2035,3099.758
RE1,LNDMAIIRR,2022,1.4766
RE1,LNDMAIIRR,2023,2.9383
RE1,LNDMAIIRR,2024,4.4298
RE1,LNDMAIIRR,2025,6.23
RE1,LNDMAIIRR,2026,7.366
RE1,LNDMAIIRR,2027,8.9044
RE1,LNDMAIIRR,2028,10.9546
RE1,LNDMAIIRR,2029,12.5196
RE1,LNDMAIIRR,2030,14.1517
RE1,LNDMAIIRR,2031,4.2048
RE1,LNDMAIIRR,2032,4.6252
RE1,LNDMAIIRR,2033,5.0457
RE1,LNDMAIIRR,2034,5.4662
RE1,LNDMAIIRR,2035,6.0276
RE1,LNDRICIRR,2022,0.8306
RE1,LNDRICIRR,2023,1.6649
RE1,LNDRICIRR,2024,2.5118
RE1,LNDRICIRR,2025,3.3607
RE1,LNDRICIRR,2026,4.2363
RE1,LNDRICIRR,2027,5.0524
RE1,LNDRICIRR,2028,5.928
RE1,LNDRICIRR,2029,6.8364
RE1,LNDRICIRR,2030,7.6648
RE1,LNDRICIRR,2031,1.6774
RE1,LNDRICIRR,2032,1.8979
RE1,LNDRICIRR,2033,2.1279
RE1,LNDRICIRR,2034,2.3053
RE1,LNDRICIRR,2035,3.9308
RE1,LNDFOR,2021,707.151
RE1,LNDFOR,2022,849.0221
RE1,LNDFOR,2023,990.5584
RE1,LNDFOR,2024,1131.9271
RE1,LNDFOR,2025,1272.2401
RE1,LNDFOR,2026,1420.4622
RE1,LNDFOR,2027,1550.0422
RE1,LNDFOR,2028,1702.745
RE1,LNDFOR,2029,1830.0324
RE1,LNDFOR,2030,1930.3599
RE1,LNDBLT,2021,1234.2
RE1,LNDBLT,2022,1393.92
RE1,LNDBLT,2023,1727.88
RE1,LNDBLT,2024,1858.56
RE1,LNDBLT,2025,2221.56
RE1,LNDBLT,2026,2323.2
RE1,LNDBLT,2027,2715.24
RE1,LNDBLT,2028,2787.84
RE1,LNDBLT,2029,3208.92
RE1,LNDBLT,2030,3455.76
