r,t,y,DiscountedSalvageValue
RE1,MINGAS,2020,0.0034
RE1,MINGAS,2021,0.0003
RE1,MINGAS,2022,0.0002
RE1,MINGAS,2023,0.0
RE1,PWRTRN,2022,94.5946
RE1,PWRTRN,2023,308.7121
RE1,PWRTRN,2024,312.7573
RE1,PWRTRN,2025,337.0735
RE1,PWRTRN,2026,380.7853
RE1,PWRTRN,2027,386.855
RE1,PWRTRN,2028,412.957
RE1,PWRTRN,2029,459.7407
RE1,PWRTRN,2030,487.119
RE1,PWRTRN,2031,512.1161
RE1,PWRTRN,2032,562.1737
RE1,PWRTRN,2033,591.0875
RE1,PWRTRN,2034,643.4201
RE1,PWRTRN,2035,674.2518
RE1,LNDMAIIRR,2022,0.3214
RE1,LNDMAIIRR,2023,0.6395
RE1,LNDMAIIRR,2024,0.9641
RE1,LNDMAIIRR,2025,1.3558
RE1,LNDMAIIRR,2026,1.6031
RE1,LNDMAIIRR,2027,1.9379
RE1,LNDMAIIRR,2028,2.3841
RE1,LNDMAIIRR,2029,2.7246
RE1,LNDMAIIRR,2030,3.0798
RE1,LNDMAIIRR,2031,0.9151
RE1,LNDMAIIRR,2032,1.0066
RE1,LNDMAIIRR,2033,1.0981
RE1,LNDMAIIRR,2034,1.1896
RE1,LNDMAIIRR,2035,1.3118
RE1,LNDRICIRR,2022,0.1808
RE1,LNDRICIRR,2023,0.3623
RE1,LNDRICIRR,2024,0.5466
RE1,LNDRICIRR,2025,0.7314
RE1,LNDRICIRR,2026,0.9219
RE1,LNDRICIRR,2027,1.0995
RE1,LNDRICIRR,2028,1.2901
RE1,LNDRICIRR,2029,1.4878
RE1,LNDRICIRR,2030,1.6681
RE1,LNDRICIRR,2031,0.3651
RE1,LNDRICIRR,2032,0.413
RE1,LNDRICIRR,2033,0.4631
RE1,LNDRICIRR,2034,0.5017
RE1,LNDRICIRR,2035,0.8554
RE1,LNDFOR,2021,93.9255
RE1,LNDFOR,2022,123.8704
RE1,LNDFOR,2023,117.622
RE1,LNDFOR,2024,535.4419
RE1,LNDFOR,2025,276.8765
RE1,LNDFOR,2026,309.134
RE1,LNDFOR,2027,337.3343
RE1,LNDFOR,2028,370.5669
RE1,LNDFOR,2029,398.2684
RE1,LNDFOR,2030,430.5672
RE1,LNDBLT,2021,268.5979
RE1,LNDBLT,2022,303.3576
RE1,LNDBLT,2023,376.037
RE1,LNDBLT,2024,404.4768
RE1,LNDBLT,2025,483.4762
RE1,LNDBLT,2026,505.596
RE1,LNDBLT,2027,590.9153
RE1,LNDBLT,2028,606.7152
RE1,LNDBLT,2029,698.3545
RE1,LNDBLT,2030,752.0741
RE1,LNDBLT,2031,47.3996
RE1,LNDBLT,2032,101.1192
RE1,LNDBLT,2033,107.4392
RE1,LNDBLT,2034,56.8796
RE1,LNDBLT,2035,120.079
RE1,PWRWND,2023,195.446
RE1,PWRWND,2024,312.9508
RE1,PWRWND,2025,315.2935
RE1,PWRWND,2026,828.1824
RE1,PWRWND,2027,388.6633
RE1,PWRWND,2028,428.6025
RE1,PWRWND,2029,491.977
RE1,PWRWND,2030,536.561
RE1,PWRWND,2031,1335.1479
RE1,PWRWND,2032,859.8377
RE1,PWRWND,2033,2037.6276
RE1,PWRWND,2034,654.1843
RE1,PWRWND,2035,717.5077
RE1,DEMAGRSURWAT,2023,0.5449
RE1,DEMAGRSURWAT,2024,1.5657
RE1,DEMAGRSURWAT,2025,1.8089
RE1,DEMAGRSURWAT,2026,1.9601
RE1,DEMAGRSURWAT,2027,2.1612
RE1,DEMAGRSURWAT,2028,2.4225
RE1,DEMAGRSURWAT,2029,2.6306
RE1,DEMAGRSURWAT,2030,2.837
RE1,DEMAGRSURWAT,2031,0.5536
RE1,DEMAGRSURWAT,2032,0.5953
RE1,DEMAGRSURWAT,2033,0.6375
RE1,DEMAGRSURWAT,2034,0.6751
RE1,DEMAGRSURWAT,2035,0.7271
RE1,DEMPWRSURWAT,2022,0.0472
RE1,DEMPWRSURWAT,2023,0.0061
RE1,DEMPUBSURWAT,2021,2.2134
RE1,DEMPUBSURWAT,2022,3.171
RE1,DEMPUBSURWAT,2023,3.7995
RE1,DEMPUBSURWAT,2024,4.5137
RE1,DEMPUBSURWAT,2025,5.3351
RE1,DEMPUBSURWAT,2026,6.1421
RE1,DEMPUBSURWAT,2027,6.992
RE1,DEMPUBSURWAT,2028,8.0562
RE1,DEMPUBSURWAT,2029,9.006
RE1,DEMPUBSURWAT,2030,10.1988
RE1,DEMPUBSURWAT,2031,11.3558
RE1,DEMPUBSURWAT,2032,12.5699
RE1,DEMPUBSURWAT,2033,13.9626
RE1,DEMPUBSURWAT,2034,15.4267
RE1,DEMPUBSURWAT,2035,17.0979
