r,t,y,SalvageValue
RE1,MINCOA,2020,0.0177
RE1,MINGAS,2020,0.0054
RE1,MINGAS,2021,0.0035
RE1,MINGAS,2022,0.0041
RE1,MINGAS,2023,0.0029
RE1,MINGAS,2024,0.0027
RE1,MINGAS,2025,0.0012
RE1,MINGAS,2027,0.0016
RE1,MINGAS,2028,0.0041
RE1,MINGAS,2029,0.0047
RE1,MINGAS,2030,0.0152
RE1,MINGAS,2031,0.0056
RE1,MINGAS,2032,0.0063
RE1,MINGAS,2033,0.0068
RE1,MINGAS,2034,0.0076
RE1,MINGAS,2035,0.0081
RE1,PWRGAS,2026,331.3089
RE1,PWRGAS,2027,566.1259
RE1,PWRGAS,2028,624.5073
RE1,PWRGAS,2029,717.2897
RE1,PWRGAS,2030,2313.5209
RE1,PWRGAS,2031,1646.596
RE1,PWRGAS,2032,955.2403
RE1,PWRGAS,2033,1030.3174
RE1,PWRGAS,2034,1148.1363
RE1,PWRGAS,2035,1229.5427
RE1,PWRTRN,2022,436.1456
RE1,PWRTRN,2023,1419.6753
RE1,PWRTRN,2024,1456.9852
RE1,PWRTRN,2025,1587.3804
RE1,PWRTRN,2026,1742.0601
RE1,PWRTRN,2027,1767.6074
RE1,PWRTRN,2028,1887.4868
RE1,PWRTRN,2029,2102.4559
RE1,PWRTRN,2030,2227.5456
RE1,PWRTRN,2031,2357.0857
RE1,PWRTRN,2032,2585.3923
RE1,PWRTRN,2033,2720.2898
RE1,PWRTRN,2034,2958.02
RE1,PWRTRN,2035,3099.891
RE1,LNDMAIIRR,2022,1.4766
RE1,LNDMAIIRR,2023,2.9383
RE1,LNDMAIIRR,2024,4.4298
RE1,LNDMAIIRR,2025,26.9566
RE1,LNDMAIIRR,2026,2.1844
RE1,LNDMAIIRR,2027,2.6864
RE1,LNDMAIIRR,2028,3.7003
RE1,LNDMAIIRR,2029,4.229
RE1,LNDMAIIRR,2030,4.8247
RE1,LNDMAIIRR,2031,4.2048
RE1,LNDMAIIRR,2032,4.6252
RE1,LNDMAIIRR,2033,5.0457
RE1,LNDMAIIRR,2034,5.4662
RE1,LNDMAIIRR,2035,6.0276
RE1,LNDRICIRR,2022,0.8306
RE1,LNDRICIRR,2023,1.6649
RE1,LNDRICIRR,2024,9.965
RE1,LNDRICIRR,2025,1.6967
RE1,LNDRICIRR,2026,2.1708
RE1,LNDRICIRR,2027,2.5738
RE1,LNDRICIRR,2028,3.0363
RE1,LNDRICIRR,2029,3.5084
RE1,LNDRICIRR,2030,3.9469
RE1,LNDRICIRR,2031,1.6774
RE1,LNDRICIRR,2032,1.8979
RE1,LNDRICIRR,2033,2.1279
RE1,LNDRICIRR,2034,2.3053
RE1,LNDRICIRR,2035,3.9308
RE1,LNDFOR,2021,707.151
RE1,LNDFOR,2022,849.0221
RE1,LNDFOR,2023,990.5584
RE1,LNDFOR,2024,1148.7974
RE1,LNDFOR,2025,1295.5955
RE1,LNDFOR,2026,1411.0595
RE1,LNDFOR,2027,1539.6992
RE1,LNDFOR,2028,1691.4618
RE1,LNDFOR,2029,1817.7768
RE1,LNDFOR,2030,1965.2807
RE1,LNDBLT,2021,1234.2
RE1,LNDBLT,2022,1393.92
RE1,LNDBLT,2023,1727.88
RE1,LNDBLT,2024,1858.56
RE1,LNDBLT,2025,2221.56
RE1,LNDBLT,2026,2323.2
RE1,LNDBLT,2027,2715.24
RE1,LNDBLT,2028,2787.84
RE1,LNDBLT,2029,3208.92
RE1,LNDBLT,2030,3455.76
RE1,LNDBLT,2031,217.8
RE1,LNDBLT,2032,464.64
RE1,LNDBLT,2033,493.68
RE1,LNDBLT,2034,261.36
RE1,LNDBLT,2035,551.76
RE1,DEMAGRSURWAT,2023,2.504
RE1,DEMAGRSURWAT,2024,12.8456
RE1,DEMAGRSURWAT,2025,20.7676
RE1,DEMAGRSURWAT,2026,4.8274
RE1,DEMAGRSURWAT,2027,5.3339
RE1,DEMAGRSURWAT,2028,6.1165
RE1,DEMAGRSURWAT,2029,6.644
RE1,DEMAGRSURWAT,2030,7.1853
RE1,DEMAGRSURWAT,2031,2.544
RE1,DEMAGRSURWAT,2032,2.7354
RE1,DEMAGRSURWAT,2033,2.9295
RE1,DEMAGRSURWAT,2034,3.1018
RE1,DEMAGRSURWAT,2035,3.3411
RE1,DEMPWRSURWAT,2020,0.057
RE1,DEMPWRSURWAT,2021,0.3771
RE1,DEMPWRSURWAT,2022,0.5915
