r,s,ls,y,StorageLevelSeasonStart
RE1,STG_1,1,2023,3.265
RE1,STG_1,1,2024,6.2139
RE1,STG_1,1,2025,8.2591
RE1,STG_1,1,2026,12.5399
RE1,STG_1,1,2027,14.8262
RE1,STG_1,1,2028,17.233
RE1,STG_1,1,2029,20.3788
RE1,STG_1,1,2030,24.4097
RE1,STG_1,1,2031,27.4776
RE1,STG_1,1,2032,27.4776
RE1,STG_1,1,2033,24.2126
RE1,STG_1,1,2034,21.2637
RE1,STG_1,1,2035,19.2185
RE1,STG_1,2,2022,12.3318
RE1,STG_1,2,2023,18.8227
RE1,STG_1,2,2024,24.6852
RE1,STG_1,2,2025,28.7512
RE1,STG_1,2,2026,37.2616
RE1,STG_1,2,2027,41.8069
RE1,STG_1,2,2028,46.5919
RE1,STG_1,2,2029,51.8485
RE1,STG_1,2,2030,57.3459
RE1,STG_1,2,2031,58.2004
RE1,STG_1,2,2032,54.7342
RE1,STG_1,2,2033,32.7424
RE1,STG_1,2,2034,28.9054
RE1,STG_1,2,2035,26.2538
