r,t,e,m,y,AnnualTechnologyEmissionByMode
RE1,MINCOA,CO2,1,2020,11486.15
RE1,MINCOA,CO2,1,2021,11722.958
RE1,MINCOA,CO2,1,2022,11880.83
RE1,MINCOA,CO2,1,2023,12117.638
RE1,MINCOA,CO2,1,2024,19730.893
RE1,MINCOA,CO2,1,2025,19014.494
RE1,MINCOA,CO2,1,2026,19542.758
RE1,MINCOA,CO2,1,2027,18753.952
RE1,MINCOA,CO2,1,2028,17620.809
RE1,MINCOA,CO2,1,2029,16487.667
RE1,MINCOA,CO2,1,2030,8592.0125
RE1,MINCOA,CO2,1,2031,8883.4685
RE1,MINCOA,CO2,1,2032,8951.3645
RE1,MINCOA,CO2,1,2033,9041.8925
RE1,MINCOA,CO2,1,2034,9109.7885
RE1,MINCOA,CO2,1,2035,9200.3165
RE1,MINGAS,CO2,1,2020,2046.6624
RE1,MINGAS,CO2,1,2021,2185.2624
RE1,MINGAS,CO2,1,2022,2277.6624
RE1,MINGAS,CO2,1,2023,2416.2624
RE1,MINGAS,CO2,1,2024,2508.6624
RE1,MINGAS,CO2,1,2025,2513.2344
RE1,MINGAS,CO2,1,2026,2651.8344
RE1,MINGAS,CO2,1,2027,2680.56
RE1,MINGAS,CO2,1,2028,2680.56
RE1,MINGAS,CO2,1,2029,2680.56
RE1,MINGAS,CO2,1,2030,3619.303
RE1,MINGAS,CO2,1,2031,3817.303
RE1,MINGAS,CO2,1,2032,3959.203
RE1,MINGAS,CO2,1,2033,4148.403
RE1,MINGAS,CO2,1,2034,4290.303
RE1,MINGAS,CO2,1,2035,4479.503
