r,l,f,y,Demand
RE1,S11,ELC002,2020,32.0
RE1,S11,ELC002,2021,32.96
RE1,S11,ELC002,2022,33.6
RE1,S11,ELC002,2023,34.56
RE1,S11,ELC002,2024,35.2
RE1,S11,ELC002,2025,36.16
RE1,S11,ELC002,2026,37.12
RE1,S11,ELC002,2027,38.08
RE1,S11,ELC002,2028,39.04
RE1,S11,ELC002,2029,40.0
RE1,S11,ELC002,2030,40.96
RE1,S11,ELC002,2031,41.92
RE1,S11,ELC002,2032,42.88
RE1,S11,ELC002,2033,44.16
RE1,S11,ELC002,2034,45.12
RE1,S11,ELC002,2035,46.4
RE1,S12,ELC002,2020,8.0
RE1,S12,ELC002,2021,8.24
RE1,S12,ELC002,2022,8.4
RE1,S12,ELC002,2023,8.64
RE1,S12,ELC002,2024,8.8
RE1,S12,ELC002,2025,9.04
RE1,S12,ELC002,2026,9.28
RE1,S12,ELC002,2027,9.52
RE1,S12,ELC002,2028,9.76
RE1,S12,ELC002,2029,10.0
RE1,S12,ELC002,2030,10.24
RE1,S12,ELC002,2031,10.48
RE1,S12,ELC002,2032,10.72
RE1,S12,ELC002,2033,11.04
RE1,S12,ELC002,2034,11.28
RE1,S12,ELC002,2035,11.6
RE1,S21,ELC002,2020,18.0
RE1,S21,ELC002,2021,18.54
RE1,S21,ELC002,2022,18.9
RE1,S21,ELC002,2023,19.44
RE1,S21,ELC002,2024,19.8
RE1,S21,ELC002,2025,20.34
RE1,S21,ELC002,2026,20.88
RE1,S21,ELC002,2027,21.42
RE1,S21,ELC002,2028,21.96
RE1,S21,ELC002,2029,22.5
RE1,S21,ELC002,2030,23.04
RE1,S21,ELC002,2031,23.58
RE1,S21,ELC002,2032,24.12
RE1,S21,ELC002,2033,24.84
RE1,S21,ELC002,2034,25.38
RE1,S21,ELC002,2035,26.1
RE1,S22,ELC002,2020,42.0
RE1,S22,ELC002,2021,43.26
RE1,S22,ELC002,2022,44.1
RE1,S22,ELC002,2023,45.36
RE1,S22,ELC002,2024,46.2
RE1,S22,ELC002,2025,47.46
RE1,S22,ELC002,2026,48.72
RE1,S22,ELC002,2027,49.98
RE1,S22,ELC002,2028,51.24
RE1,S22,ELC002,2029,52.5
RE1,S22,ELC002,2030,53.76
RE1,S22,ELC002,2031,55.02
RE1,S22,ELC002,2032,56.28
RE1,S22,ELC002,2033,57.96
RE1,S22,ELC002,2034,59.22
RE1,S22,ELC002,2035,60.9
