r,t,l,y,RateOfTotalActivity
RE1,DEMPWRSURWAT,S11,2020,0.0
RE1,DEMPWRSURWAT,S11,2021,0.0
RE1,DEMPWRSURWAT,S11,2022,0.0
RE1,DEMPWRSURWAT,S11,2023,0.0
RE1,DEMPWRSURWAT,S11,2024,0.0
RE1,DEMPWRSURWAT,S11,2025,0.0
RE1,DEMPWRSURWAT,S11,2026,0.0
RE1,DEMPWRSURWAT,S11,2027,0.0
RE1,DEMPWRSURWAT,S11,2028,0.0
RE1,DEMPWRSURWAT,S11,2029,0.0
RE1,DEMPWRSURWAT,S11,2030,0.0
RE1,DEMPWRSURWAT,S11,2031,0.0
RE1,DEMPWRSURWAT,S11,2032,0.0
RE1,DEMPWRSURWAT,S11,2033,0.0
RE1,DEMPWRSURWAT,S11,2034,0.0
RE1,DEMPWRSURWAT,S11,2035,0.0
RE1,DEMPWRSURWAT,S12,2020,0.0
RE1,DEMPWRSURWAT,S12,2021,0.0
RE1,DEMPWRSURWAT,S12,2022,0.0
RE1,DEMPWRSURWAT,S12,2023,0.0
RE1,DEMPWRSURWAT,S12,2024,0.0
RE1,DEMPWRSURWAT,S12,2025,0.0
RE1,DEMPWRSURWAT,S12,2026,0.0
RE1,DEMPWRSURWAT,S12,2027,0.0
RE1,DEMPWRSURWAT,S12,2028,0.0
RE1,DEMPWRSURWAT,S12,2029,0.0
RE1,DEMPWRSURWAT,S12,2030,0.0
RE1,DEMPWRSURWAT,S12,2031,0.0
RE1,DEMPWRSURWAT,S12,2032,0.0
RE1,DEMPWRSURWAT,S12,2033,0.0
RE1,DEMPWRSURWAT,S12,2034,0.0
RE1,DEMPWRSURWAT,S12,2035,0.0
RE1,DEMPWRSURWAT,S21,2020,0.0
RE1,DEMPWRSURWAT,S21,2021,0.0
RE1,DEMPWRSURWAT,S21,2022,0.0
RE1,DEMPWRSURWAT,S21,2023,0.0
RE1,DEMPWRSURWAT,S21,2024,0.0
RE1,DEMPWRSURWAT,S21,2025,0.0
RE1,DEMPWRSURWAT,S21,2026,0.0
RE1,DEMPWRSURWAT,S21,2027,0.0
RE1,DEMPWRSURWAT,S21,2028,0.0
RE1,DEMPWRSURWAT,S21,2029,0.0
RE1,DEMPWRSURWAT,S21,2030,0.0
RE1,DEMPWRSURWAT,S21,2031,0.0
RE1,DEMPWRSURWAT,S21,2032,0.0
RE1,DEMPWRSURWAT,S21,2033,0.0
RE1,DEMPWRSURWAT,S21,2034,0.0
RE1,DEMPWRSURWAT,S21,2035,0.0
RE1,DEMPWRSURWAT,S22,2020,0.0
RE1,DEMPWRSURWAT,S22,2021,0.0
RE1,DEMPWRSURWAT,S22,2022,0.0
RE1,DEMPWRSURWAT,S22,2023,0.0
RE1,DEMPWRSURWAT,S22,2024,0.0
RE1,DEMPWRSURWAT,S22,2025,0.0
RE1,DEMPWRSURWAT,S22,2026,0.0
RE1,DEMPWRSURWAT,S22,2027,0.0
RE1,DEMPWRSURWAT,S22,2028,0.0
RE1,DEMPWRSURWAT,S22,2029,0.0
RE1,DEMPWRSURWAT,S22,2030,0.0
RE1,DEMPWRSURWAT,S22,2031,0.0
RE1,DEMPWRSURWAT,S22,2032,0.0
RE1,DEMPWRSURWAT,S22,2033,0.0
RE1,DEMPWRSURWAT,S22,2034,0.0
RE1,DEMPWRSURWAT,S22,2035,0.0
