r,t,y,TotalCapacityAnnual
RE1,MINCOA,2020,12.0
RE1,MINCOA,2021,12.0
RE1,MINCOA,2022,12.0
RE1,MINCOA,2023,12.0
RE1,MINCOA,2024,12.0
RE1,MINCOA,2025,12.0
RE1,MINCOA,2026,12.0
RE1,MINCOA,2027,12.0
RE1,MINCOA,2028,12.0
RE1,MINCOA,2029,12.0
RE1,MINCOA,2030,12.0
RE1,MINCOA,2031,12.0
RE1,MINCOA,2032,12.0
RE1,MINCOA,2033,12.0
RE1,MINCOA,2034,12.0
RE1,MINCOA,2035,12.0
RE1,MINGAS,2020,7.6352
RE1,MINGAS,2021,9.014
RE1,MINGAS,2022,9.014
RE1,MINGAS,2023,9.014
RE1,MINGAS,2024,13.4433
RE1,MINGAS,2025,13.4433
RE1,MINGAS,2026,13.4433
RE1,MINGAS,2027,13.4433
RE1,MINGAS,2028,13.4433
RE1,MINGAS,2029,13.4433
RE1,MINGAS,2030,13.4433
RE1,MINGAS,2031,13.4433
RE1,MINGAS,2032,15.3235
RE1,MINGAS,2033,15.3235
RE1,MINGAS,2034,15.3235
RE1,MINGAS,2035,15.3235
RE1,PWRGAS,2020,6.0
RE1,PWRGAS,2021,6.0
RE1,PWRGAS,2022,6.0
RE1,PWRGAS,2023,6.0
RE1,PWRGAS,2024,6.0
RE1,PWRGAS,2025,6.0
RE1,PWRGAS,2026,5.0
RE1,PWRGAS,2027,5.0
RE1,PWRGAS,2028,5.0
RE1,PWRGAS,2029,5.0
RE1,PWRGAS,2030,6.4631
RE1,PWRGAS,2031,6.7217
RE1,PWRGAS,2032,6.9231
RE1,PWRGAS,2033,7.1917
RE1,PWRGAS,2034,7.3932
RE1,PWRGAS,2035,7.6618
RE1,PWRCOA,2020,4.0
RE1,PWRCOA,2021,4.0
RE1,PWRCOA,2022,4.0
RE1,PWRCOA,2023,4.0
RE1,PWRCOA,2024,4.0
RE1,PWRCOA,2025,4.0
RE1,PWRCOA,2026,4.0
RE1,PWRCOA,2027,4.0
RE1,PWRCOA,2028,4.0
RE1,PWRCOA,2029,4.0
RE1,PWRCOA,2030,2.0
RE1,PWRCOA,2031,2.0
RE1,PWRCOA,2032,2.0
RE1,PWRCOA,2033,2.0
RE1,PWRCOA,2034,2.0
RE1,PWRCOA,2035,2.0
RE1,PWRTRN,2020,7.8342
RE1,PWRTRN,2021,8.0692
RE1,PWRTRN,2022,8.2259
RE1,PWRTRN,2023,8.4609
RE1,PWRTRN,2024,8.6176
RE1,PWRTRN,2025,8.8526
RE1,PWRTRN,2026,9.0877
RE1,PWRTRN,2027,9.3227
RE1,PWRTRN,2028,9.5577
RE1,PWRTRN,2029,9.7927
RE1,PWRTRN,2030,10.0278
RE1,PWRTRN,2031,10.2628
RE1,PWRTRN,2032,10.4978
RE1,PWRTRN,2033,10.8112
RE1,PWRTRN,2034,11.0462
RE1,PWRTRN,2035,11.3596
RE1,MINLND,2020,999999.0
RE1,MINLND,2021,999999.0
RE1,MINLND,2022,999999.0
RE1,MINLND,2023,999999.0
RE1,MINLND,2024,999999.0
RE1,MINLND,2025,999999.0
RE1,MINLND,2026,999999.0
RE1,MINLND,2027,999999.0
RE1,MINLND,2028,999999.0
RE1,MINLND,2029,999999.0
RE1,MINLND,2030,999999.0
RE1,MINLND,2031,999999.0
RE1,MINLND,2032,999999.0
RE1,MINLND,2033,999999.0
RE1,MINLND,2034,999999.0
RE1,MINLND,2035,999999.0
RE1,LNDMAIHR,2020,999999.0
RE1,LNDMAIHR,2021,999999.0
RE1,LNDMAIHR,2022,999999.0
RE1,LNDMAIHR,2023,999999.0
RE1,LNDMAIHR,2024,999999.0
RE1,LNDMAIHR,2025,999999.0
RE1,LNDMAIHR,2026,999999.0
RE1,LNDMAIHR,2027,999999.0
RE1,LNDMAIHR,2028,999999.0
RE1,LNDMAIHR,2029,999999.0
RE1,LNDMAIHR,2030,999999.0
RE1,LNDMAIHR,2031,999999.0
RE1,LNDMAIHR,2032,999999.0
RE1,LNDMAIHR,2033,999999.0
RE1,LNDMAIHR,2034,999999.0
RE1,LNDMAIHR,2035,999999.0
RE1,LNDRICHR,2020,999999.0
RE1,LNDRICHR,2021,999999.0
RE1,LNDRICHR,2022,999999.0
RE1,LNDRICHR,2023,999999.0
RE1,LNDRICHR,2024,999999.0
RE1,LNDRICHR,2025,999999.0
RE1,LNDRICHR,2026,999999.0
RE1,LNDRICHR,2027,999999.0
RE1,LNDRICHR,2028,999999.0
RE1,LNDRICHR,2029,999999.0
RE1,LNDRICHR,2030,999999.0
RE1,LNDRICHR,2031,999999.0
RE1,LNDRICHR,2032,999999.0
RE1,LNDRICHR,2033,999999.0
RE1,LNDRICHR,2034,999999.0
RE1,LNDRICHR,2035,999999.0
RE1,LNDMAIHI,2020,999999.0
RE1,LNDMAIHI,2021,999999.0
