r,rr,l,f,y,Trade
RE1,RE1,S11,COA,2020,0
RE1,RE1,S11,COA,2021,0
RE1,RE1,S11,COA,2022,0
RE1,RE1,S11,COA,2023,0
RE1,RE1,S11,COA,2024,0
RE1,RE1,S11,COA,2025,0
RE1,RE1,S11,COA,2026,0
RE1,RE1,S11,COA,2027,0
RE1,RE1,S11,COA,2028,0
RE1,RE1,S11,COA,2029,0
RE1,RE1,S11,COA,2030,0
RE1,RE1,S11,COA,2031,0
RE1,RE1,S11,COA,2032,0
RE1,RE1,S11,COA,2033,0
RE1,RE1,S11,COA,2034,0
RE1,RE1,S11,COA,2035,0
RE1,RE1,S11,CRPMAI,2020,0
RE1,RE1,S11,CRPMAI,2021,0
RE1,RE1,S11,CRPMAI,2022,0
RE1,RE1,S11,CRPMAI,2023,0
RE1,RE1,S11,CRPMAI,2024,0
RE1,RE1,S11,CRPMAI,2025,0
RE1,RE1,S11,CRPMAI,2026,0
RE1,RE1,S11,CRPMAI,2027,0
RE1,RE1,S11,CRPMAI,2028,0
RE1,RE1,S11,CRPMAI,2029,0
RE1,RE1,S11,CRPMAI,2030,0
RE1,RE1,S11,CRPMAI,2031,0
RE1,RE1,S11,CRPMAI,2032,0
RE1,RE1,S11,CRPMAI,2033,0
RE1,RE1,S11,CRPMAI,2034,0
RE1,RE1,S11,CRPMAI,2035,0
RE1,RE1,S11,CRPRIC,2020,0
RE1,RE1,S11,CRPRIC,2021,0
RE1,RE1,S11,CRPRIC,2022,0
RE1,RE1,S11,CRPRIC,2023,0
RE1,RE1,S11,CRPRIC,2024,0
RE1,RE1,S11,CRPRIC,2025,0
RE1,RE1,S11,CRPRIC,2026,0
RE1,RE1,S11,CRPRIC,2027,0
RE1,RE1,S11,CRPRIC,2028,0
RE1,RE1,S11,CRPRIC,2029,0
RE1,RE1,S11,CRPRIC,2030,0
RE1,RE1,S11,CRPRIC,2031,0
RE1,RE1,S11,CRPRIC,2032,0
RE1,RE1,S11,CRPRIC,2033,0
RE1,RE1,S11,CRPRIC,2034,0
RE1,RE1,S11,CRPRIC,2035,0
RE1,RE1,S11,ELC001,2020,0
RE1,RE1,S11,ELC001,2021,0
RE1,RE1,S11,ELC001,2022,0
RE1,RE1,S11,ELC001,2023,0
RE1,RE1,S11,ELC001,2024,0
RE1,RE1,S11,ELC001,2025,0
RE1,RE1,S11,ELC001,2026,0
RE1,RE1,S11,ELC001,2027,0
RE1,RE1,S11,ELC001,2028,0
RE1,RE1,S11,ELC001,2029,0
RE1,RE1,S11,ELC001,2030,0
RE1,RE1,S11,ELC001,2031,0
RE1,RE1,S11,ELC001,2032,0
RE1,RE1,S11,ELC001,2033,0
RE1,RE1,S11,ELC001,2034,0
RE1,RE1,S11,ELC001,2035,0
RE1,RE1,S11,ELC002,2020,0
RE1,RE1,S11,ELC002,2021,0
RE1,RE1,S11,ELC002,2022,0
RE1,RE1,S11,ELC002,2023,0
RE1,RE1,S11,ELC002,2024,0
RE1,RE1,S11,ELC002,2025,0
RE1,RE1,S11,ELC002,2026,0
RE1,RE1,S11,ELC002,2027,0
RE1,RE1,S11,ELC002,2028,0
RE1,RE1,S11,ELC002,2029,0
RE1,RE1,S11,ELC002,2030,0
RE1,RE1,S11,ELC002,2031,0
RE1,RE1,S11,ELC002,2032,0
RE1,RE1,S11,ELC002,2033,0
RE1,RE1,S11,ELC002,2034,0
RE1,RE1,S11,ELC002,2035,0
RE1,RE1,S11,GAS,2020,0
RE1,RE1,S11,GAS,2021,0
RE1,RE1,S11,GAS,2022,0
RE1,RE1,S11,GAS,2023,0
RE1,RE1,S11,GAS,2024,0
RE1,RE1,S11,GAS,2025,0
RE1,RE1,S11,GAS,2026,0
RE1,RE1,S11,GAS,2027,0
RE1,RE1,S11,GAS,2028,0
RE1,RE1,S11,GAS,2029,0
RE1,RE1,S11,GAS,2030,0
RE1,RE1,S11,GAS,2031,0
RE1,RE1,S11,GAS,2032,0
RE1,RE1,S11,GAS,2033,0
RE1,RE1,S11,GAS,2034,0
RE1,RE1,S11,GAS,2035,0
RE1,RE1,S11,HYD,2020,0
RE1,RE1,S11,HYD,2021,0
RE1,RE1,S11,HYD,2022,0
RE1,RE1,S11,HYD,2023,0
RE1,RE1,S11,HYD,2024,0
RE1,RE1,S11,HYD,2025,0
RE1,RE1,S11,HYD,2026,0
RE1,RE1,S11,HYD,2027,0
RE1,RE1,S11,HYD,2028,0
RE1,RE1,S11,HYD,2029,0
RE1,RE1,S11,HYD,2030,0
RE1,RE1,S11,HYD,2031,0
RE1,RE1,S11,HYD,2032,0
RE1,RE1,S11,HYD,2033,0
RE1,RE1,S11,HYD,2034,0
RE1,RE1,S11,HYD,2035,0
RE1,RE1,S11,LBLT,2020,0
RE1,RE1,S11,LBLT,2021,0
RE1,RE1,S11,LBLT,2022,0
RE1,RE1,S11,LBLT,2023,0
RE1,RE1,S11,LBLT,2024,0
RE1,RE1,S11,LBLT,2025,0
RE1,RE1,S11,LBLT,2026,0
RE1,RE1,S11,LBLT,2027,0
RE1,RE1,S11,LBLT,2028,0
RE1,RE1,S11,LBLT,2029,0
RE1,RE1,S11,LBLT,2030,0
RE1,RE1,S11,LBLT,2031,0
RE1,RE1,S11,LBLT,2032,0
RE1,RE1,S11,LBLT,2033,0
RE1,RE1,S11,LBLT,2034,0
RE1,RE1,S11,LBLT,2035,0
RE1,RE1,S11,LFOR,2020,0
RE1,RE1,S11,LFOR,2021,0
RE1,RE1,S11,LFOR,2022,0
RE1,RE1,S11,LFOR,2023,0
RE1,RE1,S11,LFOR,2024,0
RE1,RE1,S11,LFOR,2025,0
RE1,RE1,S11,LFOR,2026,0
RE1,RE1,S11,LFOR,2027,0
RE1,RE1,S11,LFOR,2028,0
RE1,RE1,S11,LFOR,2029,0
RE1,RE1,S11,LFOR,2030,0
RE1,RE1,S11,LFOR,2031,0
RE1,RE1,S11,LFOR,2032,0
RE1,RE1,S11,LFOR,2033,0
RE1,RE1,S11,LFOR,2034,0
RE1,RE1,S11,LFOR,2035,0
RE1,RE1,S11,LND,2020,0
