r,t,f,y,UseByTechnologyAnnual
RE1,DEMPWRSURWAT,WTRSUR,2020,0.0
RE1,DEMPWRSURWAT,WTRSUR,2021,0.0
RE1,DEMPWRSURWAT,WTRSUR,2022,0.0
RE1,DEMPWRSURWAT,WTRSUR,2023,0.0
RE1,DEMPWRSURWAT,WTRSUR,2024,0.0
RE1,DEMPWRSURWAT,WTRSUR,2025,0.0
RE1,DEMPWRSURWAT,WTRSUR,2026,0.0
RE1,DEMPWRSURWAT,WTRSUR,2027,0.0
RE1,DEMPWRSURWAT,WTRSUR,2028,0.0
RE1,DEMPWRSURWAT,WTRSUR,2029,0.0
RE1,DEMPWRSURWAT,WTRSUR,2030,0.0
RE1,DEMPWRSURWAT,WTRSUR,2031,0.0
RE1,DEMPWRSURWAT,WTRSUR,2032,0.0
RE1,DEMPWRSURWAT,WTRSUR,2033,0.0
RE1,DEMPWRSURWAT,WTRSUR,2034,0.0
RE1,DEMPWRSURWAT,WTRSUR,2035,0.0
RE1,LNDBLT,LND,2020,9.9999
RE1,LNDBLT,LND,2021,10.2999
RE1,LNDBLT,LND,2022,10.5999
RE1,LNDBLT,LND,2023,10.9
RE1,LNDBLT,LND,2024,11.3
RE1,LNDBLT,LND,2025,11.6
RE1,LNDBLT,LND,2026,11.9
RE1,LNDBLT,LND,2027,12.3
RE1,LNDBLT,LND,2028,12.7
RE1,LNDBLT,LND,2029,13.0
RE1,LNDBLT,LND,2030,13.4
RE1,LNDBLT,LND,2031,13.8
RE1,LNDBLT,LND,2032,14.3
RE1,LNDBLT,LND,2033,14.7
RE1,LNDBLT,LND,2034,15.1
RE1,LNDBLT,LND,2035,15.6
RE1,LNDBLT,WTRPRC,2020,11.9998
RE1,LNDBLT,WTRPRC,2021,12.3599
RE1,LNDBLT,WTRPRC,2022,12.7199
RE1,LNDBLT,WTRPRC,2023,13.08
RE1,LNDBLT,WTRPRC,2024,13.56
RE1,LNDBLT,WTRPRC,2025,13.9199
RE1,LNDBLT,WTRPRC,2026,14.28
RE1,LNDBLT,WTRPRC,2027,14.76
RE1,LNDBLT,WTRPRC,2028,15.2401
RE1,LNDBLT,WTRPRC,2029,15.6
RE1,LNDBLT,WTRPRC,2030,16.08
RE1,LNDBLT,WTRPRC,2031,16.56
RE1,LNDBLT,WTRPRC,2032,17.16
RE1,LNDBLT,WTRPRC,2033,17.6401
RE1,LNDBLT,WTRPRC,2034,18.12
RE1,LNDBLT,WTRPRC,2035,18.7199
RE1,LNDFOR,LND,2020,175.0001
RE1,LNDFOR,LND,2021,172.65
RE1,LNDFOR,LND,2022,170.4
RE1,LNDFOR,LND,2023,167.925
RE1,LNDFOR,LND,2024,165.35
RE1,LNDFOR,LND,2025,162.875
RE1,LNDFOR,LND,2026,160.3
RE1,LNDFOR,LND,2027,157.625
RE1,LNDFOR,LND,2028,154.825
RE1,LNDFOR,LND,2029,152.0
RE1,LNDFOR,LND,2030,149.2
RE1,LNDFOR,LND,2031,146.175
RE1,LNDFOR,LND,2032,143.15
RE1,LNDFOR,LND,2033,140.025
RE1,LNDFOR,LND,2034,136.875
RE1,LNDFOR,LND,2035,133.625
RE1,LNDFOR,WTRPRC,2020,210.0001
RE1,LNDFOR,WTRPRC,2021,207.18
RE1,LNDFOR,WTRPRC,2022,204.48
RE1,LNDFOR,WTRPRC,2023,201.51
RE1,LNDFOR,WTRPRC,2024,198.42
RE1,LNDFOR,WTRPRC,2025,195.45
RE1,LNDFOR,WTRPRC,2026,192.36
RE1,LNDFOR,WTRPRC,2027,189.1501
RE1,LNDFOR,WTRPRC,2028,185.79
RE1,LNDFOR,WTRPRC,2029,182.3999
RE1,LNDFOR,WTRPRC,2030,179.04
RE1,LNDFOR,WTRPRC,2031,175.41
RE1,LNDFOR,WTRPRC,2032,171.78
