r,e,y,AnnualEmissions
RE1,CO2EQ,2020,-257.8308
RE1,CO2EQ,2021,-246.1712
RE1,CO2EQ,2022,-250.3069
RE1,CO2EQ,2023,-242.9621
RE1,CO2EQ,2024,-246.1066
RE1,CO2EQ,2025,-237.225
RE1,CO2EQ,2026,-241.4715
RE1,CO2EQ,2027,-183.2856
RE1,CO2EQ,2028,-284.0389
RE1,CO2EQ,2029,-175.0535
RE1,CO2EQ,2030,-249.5865
RE1,CO2EQ,2031,-238.4485
RE1,CO2EQ,2032,-235.1085
RE1,CO2EQ,2033,-159.8922
RE1,CO2EQ,2034,-264.2303
RE1,CO2EQ,2035,-203.4601
RE1,CO2,2020,33.3669
RE1,CO2,2021,34.9405
RE1,CO2,2022,36.943
RE1,CO2,2023,39.0241
RE1,CO2,2024,41.1479
RE1,CO2,2025,43.3605
RE1,CO2,2026,45.8096
RE1,CO2,2027,48.3122
RE1,CO2,2028,50.914
RE1,CO2,2029,53.8001
RE1,CO2,2030,47.3238
RE1,CO2,2031,50.3816
RE1,CO2,2032,53.691
RE1,CO2,2033,57.1144
RE1,CO2,2034,60.8213
RE1,CO2,2035,64.632
RE1,CH4,2020,0.0129
RE1,CH4,2021,0.0131
RE1,CH4,2022,0.0132
RE1,CH4,2023,0.0133
RE1,CH4,2024,0.0134
RE1,CH4,2025,0.0135
RE1,CH4,2026,0.0135
RE1,CH4,2027,0.0135
RE1,CH4,2028,0.0135
RE1,CH4,2029,0.0135
RE1,CH4,2030,0.0134
RE1,CH4,2031,0.0137
RE1,CH4,2032,0.014
RE1,CH4,2033,0.0143
RE1,CH4,2034,0.0145
RE1,CH4,2035,0.0148
RE1,N2O,2020,0.001
RE1,N2O,2021,0.001
RE1,N2O,2022,0.0011
RE1,N2O,2023,0.0012
RE1,N2O,2024,0.0013
RE1,N2O,2025,0.0014
RE1,N2O,2026,0.0014
RE1,N2O,2027,0.0015
RE1,N2O,2028,0.0016
RE1,N2O,2029,0.0017
RE1,N2O,2030,0.0018
RE1,N2O,2031,0.0018
RE1,N2O,2032,0.0019
RE1,N2O,2033,0.0019
RE1,N2O,2034,0.002
RE1,N2O,2035,0.002
