r,t,e,y,AnnualTechnologyEmission
RE1,MINCOA,CO2EQ,2020,31.0409
RE1,MINCOA,CO2EQ,2021,31.0409
RE1,MINCOA,CO2EQ,2022,31.0409
RE1,MINCOA,CO2EQ,2023,31.0409
RE1,MINCOA,CO2EQ,2024,31.0409
RE1,MINCOA,CO2EQ,2025,31.0409
RE1,MINCOA,CO2EQ,2026,31.0409
RE1,MINCOA,CO2EQ,2027,31.0409
RE1,MINCOA,CO2EQ,2028,31.0409
RE1,MINCOA,CO2EQ,2029,31.0409
RE1,MINCOA,CO2EQ,2030,15.5204
RE1,MINCOA,CO2EQ,2031,15.5204
RE1,MINCOA,CO2EQ,2032,15.5204
RE1,MINCOA,CO2EQ,2033,15.5204
RE1,MINCOA,CO2EQ,2034,15.5204
RE1,MINCOA,CO2EQ,2035,15.5204
RE1,MINCOA,CO2,2020,30.9122
RE1,MINCOA,CO2,2021,30.9122
RE1,MINCOA,CO2,2022,30.9122
RE1,MINCOA,CO2,2023,30.9122
RE1,MINCOA,CO2,2024,30.9122
RE1,MINCOA,CO2,2025,30.9122
RE1,MINCOA,CO2,2026,30.9122
RE1,MINCOA,CO2,2027,30.9122
RE1,MINCOA,CO2,2028,30.9122
RE1,MINCOA,CO2,2029,30.9122
RE1,MINCOA,CO2,2030,15.4561
RE1,MINCOA,CO2,2031,15.4561
RE1,MINCOA,CO2,2032,15.4561
RE1,MINCOA,CO2,2033,15.4561
RE1,MINCOA,CO2,2034,15.4561
RE1,MINCOA,CO2,2035,15.4561
RE1,MINGAS,CO2EQ,2020,2.2245
RE1,MINGAS,CO2EQ,2021,3.7915
RE1,MINGAS,CO2EQ,2022,5.7883
RE1,MINGAS,CO2EQ,2023,7.8641
RE1,MINGAS,CO2EQ,2024,9.9826
RE1,MINGAS,CO2EQ,2025,12.1885
RE1,MINGAS,CO2EQ,2026,14.6331
RE1,MINGAS,CO2EQ,2027,17.1313
RE1,MINGAS,CO2EQ,2028,19.7274
RE1,MINGAS,CO2EQ,2029,22.6082
RE1,MINGAS,CO2EQ,2030,31.5937
RE1,MINGAS,CO2EQ,2031,34.648
RE1,MINGAS,CO2EQ,2032,37.9544
RE1,MINGAS,CO2EQ,2033,41.3748
