r,t,y,CapitalInvestment
RE1,MINCOA,2020,0.0324
RE1,MINCOA,2021,0.0054
RE1,MINGAS,2020,0.0108
RE1,MINGAS,2021,0.0062
RE1,MINGAS,2022,0.0063
RE1,MINGAS,2023,0.006
RE1,MINGAS,2024,0.0047
RE1,MINGAS,2025,0.0039
RE1,MINGAS,2028,0.0035
RE1,MINGAS,2029,0.006
RE1,MINGAS,2030,0.0188
RE1,MINGAS,2031,0.0064
RE1,MINGAS,2032,0.0069
RE1,MINGAS,2033,0.0072
RE1,MINGAS,2034,0.0078
RE1,MINGAS,2035,0.008
RE1,PWRGAS,2027,656.4112
RE1,PWRGAS,2028,824.5916
RE1,PWRGAS,2029,915.029
RE1,PWRGAS,2030,2854.0568
RE1,PWRGAS,2031,1927.12
RE1,PWRGAS,2032,1050.1992
RE1,PWRGAS,2033,1086.4149
RE1,PWRGAS,2034,1176.6738
RE1,PWRGAS,2035,1209.6388
RE1,PWRTRN,2022,536.9574
RE1,PWRTRN,2023,1700.1269
RE1,PWRTRN,2024,1698.0866
RE1,PWRTRN,2025,1807.7643
RE1,PWRTRN,2026,2011.7116
RE1,PWRTRN,2027,2013.2788
RE1,PWRTRN,2028,2125.3175
RE1,PWRTRN,2029,2328.5376
RE1,PWRTRN,2030,2433.4988
RE1,PWRTRN,2031,2516.3457
RE1,PWRTRN,2032,2723.5929
RE1,PWRTRN,2033,2828.402
RE1,PWRTRN,2034,3042.8212
RE1,PWRTRN,2035,3141.4572
RE1,RSCLND,2020,0.03
RE1,RSCLND,2021,0.03
RE1,RSCLND,2022,0.03
RE1,RSCLND,2023,0.03
RE1,RSCLND,2024,0.03
RE1,RSCLND,2025,0.03
RE1,RSCLND,2026,0.03
RE1,RSCLND,2027,0.03
RE1,RSCLND,2028,0.03
RE1,RSCLND,2029,0.03
RE1,RSCLND,2030,0.03
RE1,RSCLND,2031,0.03
RE1,RSCLND,2032,0.03
RE1,RSCLND,2033,0.03
RE1,RSCLND,2034,0.03
RE1,RSCLND,2035,0.03
RE1,LNDMAIIRR,2020,0.0392
RE1,LNDMAIIRR,2021,22.0373
RE1,LNDMAIIRR,2022,22.1491
RE1,LNDMAIIRR,2023,22.0373
RE1,LNDMAIIRR,2024,22.1491
RE1,LNDMAIIRR,2025,23.3624
RE1,LNDMAIIRR,2026,22.0981
RE1,LNDMAIIRR,2027,22.2609
RE1,LNDMAIIRR,2028,23.4742
RE1,LNDMAIIRR,2029,23.4742
RE1,LNDMAIIRR,2030,23.5861
RE1,LNDMAIIRR,2031,6.3072
RE1,LNDMAIIRR,2032,6.3072
RE1,LNDMAIIRR,2033,6.3072
RE1,LNDMAIIRR,2034,6.3072
RE1,LNDMAIIRR,2035,6.4582
RE1,LNDRICIRR,2020,1.4797
RE1,LNDRICIRR,2021,12.1402
RE1,LNDRICIRR,2022,13.4706
RE1,LNDRICIRR,2023,13.0707
RE1,LNDRICIRR,2024,12.959
RE1,LNDRICIRR,2025,12.6814
RE1,LNDRICIRR,2026,12.5464
RE1,LNDRICIRR,2027,12.2234
RE1,LNDRICIRR,2028,12.0503
RE1,LNDRICIRR,2029,11.9026
RE1,LNDRICIRR,2030,11.6416
RE1,LNDRICIRR,2031,2.5161
RE1,LNDRICIRR,2032,2.588
RE1,LNDRICIRR,2033,2.6599
RE1,LNDRICIRR,2034,2.6599
RE1,LNDRICIRR,2035,4.2115
RE1,LNDFOR,2021,2826.8835
RE1,LNDFOR,2022,2828.6198
RE1,LNDFOR,2023,2829.3282
RE1,LNDFOR,2024,2829.2429
RE1,LNDFOR,2025,2827.087
RE1,LNDFOR,2026,2841.1579
RE1,LNDFOR,2027,2716.9351
RE1,LNDFOR,2028,2940.7552
RE1,LNDFOR,2029,2711.9842
RE1,LNDFOR,2030,2864.0518
RE1,LNDBLT,2021,4936.8
RE1,LNDBLT,2022,4646.4
RE1,LNDBLT,2023,4936.8
RE1,LNDBLT,2024,4646.4
RE1,LNDBLT,2025,4936.8
RE1,LNDBLT,2026,4646.4
RE1,LNDBLT,2027,4936.8
RE1,LNDBLT,2028,4646.4
RE1,LNDBLT,2029,4936.8
RE1,LNDBLT,2030,4936.8
RE1,LNDBLT,2031,290.4
RE1,LNDBLT,2032,580.8
RE1,LNDBLT,2033,580.8
RE1,LNDBLT,2034,290.4
RE1,LNDBLT,2035,580.8
RE1,LNDWAT,2020,0.0025
RE1,LNDWAT,2021,0.0025
RE1,LNDWAT,2022,0.0025
RE1,LNDWAT,2023,0.0025
RE1,LNDWAT,2024,0.0025
RE1,LNDWAT,2025,0.0025
RE1,LNDWAT,2026,0.0025
RE1,LNDWAT,2027,0.0026
RE1,LNDWAT,2028,0.0025
RE1,LNDWAT,2029,0.0026
RE1,LNDWAT,2030,0.0026
RE1,LNDWAT,2031,0.0025
RE1,LNDWAT,2032,0.0025
RE1,LNDWAT,2033,0.0029
RE1,LNDWAT,2034,0.0026
RE1,LNDWAT,2035,0.0027
RE1,RSCPRC,2020,0.3186
RE1,RSCPRC,2021,0.3133
RE1,RSCPRC,2022,0.3106
RE1,RSCPRC,2023,0.3053
RE1,RSCPRC,2024,0.3027
RE1,RSCPRC,2025,0.2973
RE1,RSCPRC,2026,0.2947
RE1,RSCPRC,2027,0.2868
RE1,RSCPRC,2028,0.2867
RE1,RSCPRC,2029,0.2788
RE1,RSCPRC,2030,0.278
RE1,RSCPRC,2031,0.2794
RE1,RSCPRC,2032,0.2814
RE1,RSCPRC,2033,0.2761
RE1,RSCPRC,2034,0.2788
RE1,RSCPRC,2035,0.2788
RE1,RSCHYD,2020,0.011
RE1,RSCHYD,2021,0.0109
RE1,RSCHYD,2022,0.0107
RE1,RSCHYD,2023,0.0106
RE1,RSCHYD,2024,0.0104
RE1,RSCHYD,2025,0.0103
RE1,RSCHYD,2026,0.0104
RE1,RSCHYD,2027,0.0101
RE1,RSCHYD,2028,0.0101
RE1,RSCHYD,2029,0.0098
RE1,RSCHYD,2030,0.0098
RE1,RSCHYD,2031,0.0098
RE1,RSCHYD,2032,0.0098
RE1,RSCHYD,2033,0.0099
RE1,RSCHYD,2034,0.0099
RE1,RSCHYD,2035,0.0099
RE1,RSCSOL,2020,0.0012
RE1,RSCSOL,2021,0.0012
RE1,RSCSOL,2022,0.0012
RE1,RSCSOL,2023,0.0012
RE1,RSCSOL,2024,0.0012
RE1,RSCSOL,2025,0.0012
RE1,RSCSOL,2026,0.0012
RE1,RSCSOL,2027,0.0012
RE1,RSCSOL,2028,0.0012
RE1,RSCSOL,2029,0.0012
RE1,RSCSOL,2030,0.0012
RE1,RSCSOL,2031,0.0012
RE1,RSCSOL,2032,0.0012
RE1,RSCSOL,2033,0.0012
RE1,RSCSOL,2034,0.0012
RE1,RSCSOL,2035,0.0012
RE1,RSCWND,2020,0.0019
RE1,RSCWND,2021,0.0019
RE1,RSCWND,2022,0.0019
RE1,RSCWND,2023,0.0019
RE1,RSCWND,2024,0.0019
RE1,RSCWND,2025,0.0019
RE1,RSCWND,2026,0.0019
RE1,RSCWND,2027,0.0019
RE1,RSCWND,2028,0.0019
RE1,RSCWND,2029,0.0019
RE1,RSCWND,2030,0.0019
RE1,RSCWND,2031,0.0019
RE1,RSCWND,2032,0.0019
RE1,RSCWND,2033,0.0019
RE1,RSCWND,2034,0.0019
RE1,RSCWND,2035,0.0019
RE1,DEMAGRDSL,2020,0.0002
RE1,DEMAGRDSL,2021,0.0002
RE1,DEMAGRDSL,2022,0.0002
RE1,DEMAGRDSL,2023,0.0002
RE1,DEMAGRDSL,2024,0.0002
RE1,DEMAGRDSL,2025,0.0003
RE1,DEMAGRDSL,2026,0.0003
RE1,DEMAGRDSL,2027,0.0003
RE1,DEMAGRDSL,2028,0.0003
RE1,DEMAGRDSL,2029,0.0003
RE1,DEMAGRDSL,2030,0.0003
RE1,DEMAGRDSL,2031,0.0003
RE1,DEMAGRDSL,2032,0.0003
RE1,DEMAGRDSL,2033,0.0003
RE1,DEMAGRDSL,2034,0.0003
RE1,DEMAGRDSL,2035,0.0003
RE1,DEMAGRSURWAT,2023,16.1748
RE1,DEMAGRSURWAT,2024,21.7541
RE1,DEMAGRSURWAT,2025,25.1662
RE1,DEMAGRSURWAT,2026,23.2312
RE1,DEMAGRSURWAT,2027,23.8418
RE1,DEMAGRSURWAT,2028,28.3596
RE1,DEMAGRSURWAT,2029,26.0347
RE1,DEMAGRSURWAT,2030,26.6595
RE1,DEMAGRSURWAT,2031,4.8265
RE1,DEMAGRSURWAT,2032,4.8622
RE1,DEMAGRSURWAT,2033,4.898
RE1,DEMAGRSURWAT,2034,9.2945
RE1,DEMAGRSURWAT,2035,5.1028
RE1,DEMPWRSURWAT,2021,0.3923
RE1,DEMPWRSURWAT,2022,2.2435
RE1,DEMPWRSURWAT,2023,2.3509
RE1,DEMPWRSURWAT,2024,2.5737
RE1,DEMPWRSURWAT,2025,2.7404
RE1,DEMPWRSURWAT,2026,3.2709
RE1,DEMPWRSURWAT,2027,2.3496
RE1,DEMPWRSURWAT,2028,2.9516
RE1,DEMPWRSURWAT,2029,3.2754
RE1,DEMPWRSURWAT,2030,2.1193
RE1,DEMPWRSURWAT,2031,3.4726
RE1,DEMPWRSURWAT,2032,3.7592
RE1,DEMPWRSURWAT,2033,3.8888
RE1,DEMPWRSURWAT,2034,4.2119
RE1,DEMPWRSURWAT,2035,4.3299
RE1,DEMPUBSURWAT,2021,40.6814
RE1,DEMPUBSURWAT,2022,48.5695
RE1,DEMPUBSURWAT,2023,49.8822
RE1,DEMPUBSURWAT,2024,51.8512
RE1,DEMPUBSURWAT,2025,54.4766
RE1,DEMPUBSURWAT,2026,56.4456
RE1,DEMPUBSURWAT,2027,58.4147
RE1,DEMPUBSURWAT,2028,61.6964
RE1,DEMPUBSURWAT,2029,63.6654
RE1,DEMPUBSURWAT,2030,66.9471
RE1,DEMPUBSURWAT,2031,69.5725
RE1,DEMPUBSURWAT,2032,72.1979
RE1,DEMPUBSURWAT,2033,75.4796
RE1,DEMPUBSURWAT,2034,78.7613
RE1,DEMPUBSURWAT,2035,82.6994
RE1,DEMTRABIO,2020,0.0001
RE1,DEMTRABIO,2021,0.0001
RE1,DEMTRABIO,2022,0.0001
RE1,DEMTRABIO,2023,0.0001
RE1,DEMTRABIO,2024,0.0001
RE1,DEMTRABIO,2025,0.0001
RE1,DEMTRABIO,2026,0.0001
RE1,DEMTRABIO,2027,0.0001
RE1,DEMTRABIO,2028,0.0001
RE1,DEMTRABIO,2029,0.0002
RE1,DEMTRABIO,2030,0.0002
RE1,DEMTRABIO,2031,0.0002
RE1,DEMTRABIO,2032,0.0002
RE1,DEMTRABIO,2033,0.0002
RE1,DEMTRABIO,2034,0.0002
RE1,DEMTRABIO,2035,0.0002
