r,s,ls,ld,lh,y,NetChargeWithinYear
RE1,STG_1,1,1,1,2020,2.8357
RE1,STG_1,1,1,1,2021,11.4954
RE1,STG_1,1,1,1,2022,12.3318
RE1,STG_1,1,1,1,2023,12.3318
RE1,STG_1,1,1,1,2024,12.3318
RE1,STG_1,1,1,1,2025,3.9318
RE1,STG_1,1,1,1,2026,5.9923
RE1,STG_1,1,1,1,2027,8.0297
RE1,STG_1,1,1,1,2028,8.508
RE1,STG_1,1,1,1,2029,9.1318
RE1,STG_1,1,1,1,2030,9.6595
RE1,STG_1,1,1,1,2031,10.23
RE1,STG_1,1,1,1,2032,20.3643
RE1,STG_1,1,1,1,2033,11.4069
RE1,STG_1,1,1,1,2034,12.1411
RE1,STG_1,1,1,1,2035,12.8283
RE1,STG_1,1,1,2,2021,0.8365
RE1,STG_1,1,1,2,2025,8.4
RE1,STG_1,1,1,2,2026,9.4618
RE1,STG_1,1,1,2,2027,10.5116
RE1,STG_1,1,1,2,2028,10.7581
RE1,STG_1,1,1,2,2029,11.0796
RE1,STG_1,1,1,2,2030,11.3515
RE1,STG_1,1,1,2,2031,11.6454
RE1,STG_1,1,1,2,2032,2.4487
RE1,STG_1,1,1,2,2033,12.2519
RE1,STG_1,1,1,2,2034,12.6303
RE1,STG_1,1,1,2,2035,12.9844
RE1,STG_1,2,1,1,2020,-0.9386
RE1,STG_1,2,1,1,2021,-4.0818
RE1,STG_1,2,1,1,2022,-4.0818
RE1,STG_1,2,1,1,2023,-4.0818
RE1,STG_1,2,1,1,2024,-4.0818
RE1,STG_1,2,1,1,2025,-4.0818
RE1,STG_1,2,1,1,2026,-6.1613
RE1,STG_1,2,1,1,2027,-8.2174
RE1,STG_1,2,1,1,2028,-8.7002
RE1,STG_1,2,1,1,2029,-9.3296
RE1,STG_1,2,1,1,2030,-9.8622
RE1,STG_1,2,1,1,2031,-10.4379
RE1,STG_1,2,1,1,2032,-11.0624
RE1,STG_1,2,1,1,2033,-11.6257
RE1,STG_1,2,1,1,2034,-12.3666
RE1,STG_1,2,1,1,2035,-13.0602
RE1,STG_1,2,1,2,2020,-1.8971
RE1,STG_1,2,1,2,2021,-8.25
RE1,STG_1,2,1,2,2022,-8.25
RE1,STG_1,2,1,2,2023,-8.25
RE1,STG_1,2,1,2,2024,-8.25
RE1,STG_1,2,1,2,2025,-8.25
RE1,STG_1,2,1,2,2026,-9.2928
RE1,STG_1,2,1,2,2027,-10.3239
RE1,STG_1,2,1,2,2028,-10.566
RE1,STG_1,2,1,2,2029,-10.8817
RE1,STG_1,2,1,2,2030,-11.1488
RE1,STG_1,2,1,2,2031,-11.4375
RE1,STG_1,2,1,2,2032,-11.7506
RE1,STG_1,2,1,2,2033,-12.0332
RE1,STG_1,2,1,2,2034,-12.4047
RE1,STG_1,2,1,2,2035,-12.7525
