t,f,m,y,l,r,RateOfProductionByTechnology
DEMAGRDSL,AGRDSL,1,2020,S11,RE1,2.0597
DEMAGRDSL,AGRDSL,1,2021,S11,RE1,2.1428
DEMAGRDSL,AGRDSL,1,2022,S11,RE1,2.235
DEMAGRDSL,AGRDSL,1,2023,S11,RE1,2.324
DEMAGRDSL,AGRDSL,1,2024,S11,RE1,2.4132
DEMAGRDSL,AGRDSL,1,2025,S11,RE1,2.5122
DEMAGRDSL,AGRDSL,1,2026,S11,RE1,2.5984
DEMAGRDSL,AGRDSL,1,2027,S11,RE1,2.6841
DEMAGRDSL,AGRDSL,1,2028,S11,RE1,2.7804
DEMAGRDSL,AGRDSL,1,2029,S11,RE1,2.8755
DEMAGRDSL,AGRDSL,1,2030,S11,RE1,2.9704
DEMAGRDSL,AGRDSL,1,2031,S11,RE1,3.0468
DEMAGRDSL,AGRDSL,1,2032,S11,RE1,3.1236
DEMAGRDSL,AGRDSL,1,2033,S11,RE1,3.2009
DEMAGRDSL,AGRDSL,1,2034,S11,RE1,3.2782
DEMAGRDSL,AGRDSL,1,2035,S11,RE1,3.3571
DEMAGRGWTWAT,AGRWAT,1,2020,S11,RE1,0.0
DEMAGRGWTWAT,AGRWAT,1,2021,S11,RE1,0.0
DEMAGRGWTWAT,AGRWAT,1,2022,S11,RE1,0.1863
DEMAGRGWTWAT,AGRWAT,1,2023,S11,RE1,0.245
DEMAGRGWTWAT,AGRWAT,1,2024,S11,RE1,0.21
DEMAGRGWTWAT,AGRWAT,1,2025,S11,RE1,0.175
DEMAGRGWTWAT,AGRWAT,1,2026,S11,RE1,0.14
DEMAGRGWTWAT,AGRWAT,1,2027,S11,RE1,0.105
DEMAGRGWTWAT,AGRWAT,1,2028,S11,RE1,0.07
DEMAGRGWTWAT,AGRWAT,1,2029,S11,RE1,0.035
DEMAGRGWTWAT,AGRWAT,1,2030,S11,RE1,0.0
DEMAGRGWTWAT,AGRWAT,1,2031,S11,RE1,0.0
DEMAGRGWTWAT,AGRWAT,1,2032,S11,RE1,0.0
DEMAGRGWTWAT,AGRWAT,1,2033,S11,RE1,0.0
DEMAGRGWTWAT,AGRWAT,1,2034,S11,RE1,0.0
DEMAGRGWTWAT,AGRWAT,1,2035,S11,RE1,0.0
DEMAGRSURWAT,AGRWAT,1,2020,S11,RE1,0.3494
DEMAGRSURWAT,AGRWAT,1,2021,S11,RE1,0.5428
DEMAGRSURWAT,AGRWAT,1,2022,S11,RE1,0.56
DEMAGRSURWAT,AGRWAT,1,2023,S11,RE1,0.7361
DEMAGRSURWAT,AGRWAT,1,2024,S11,RE1,0.9972
DEMAGRSURWAT,AGRWAT,1,2025,S11,RE1,1.3101
DEMAGRSURWAT,AGRWAT,1,2026,S11,RE1,1.5937
DEMAGRSURWAT,AGRWAT,1,2027,S11,RE1,1.8865
DEMAGRSURWAT,AGRWAT,1,2028,S11,RE1,2.248
DEMAGRSURWAT,AGRWAT,1,2029,S11,RE1,2.5742
DEMAGRSURWAT,AGRWAT,1,2030,S11,RE1,2.9099
DEMAGRSURWAT,AGRWAT,1,2031,S11,RE1,2.9833
DEMAGRSURWAT,AGRWAT,1,2032,S11,RE1,3.0573
DEMAGRSURWAT,AGRWAT,1,2033,S11,RE1,3.1319
DEMAGRSURWAT,AGRWAT,1,2034,S11,RE1,3.2733
DEMAGRSURWAT,AGRWAT,1,2035,S11,RE1,3.351
DEMPUBGWTWAT,PUBWAT,1,2020,S11,RE1,0.6013
DEMPUBGWTWAT,PUBWAT,1,2021,S11,RE1,0.6082
DEMPUBGWTWAT,PUBWAT,1,2022,S11,RE1,0.6044
DEMPUBGWTWAT,PUBWAT,1,2023,S11,RE1,0.6004
DEMPUBGWTWAT,PUBWAT,1,2024,S11,RE1,0.5962
DEMPUBGWTWAT,PUBWAT,1,2025,S11,RE1,0.5919
DEMPUBGWTWAT,PUBWAT,1,2026,S11,RE1,0.5874
DEMPUBGWTWAT,PUBWAT,1,2027,S11,RE1,0.5827
DEMPUBGWTWAT,PUBWAT,1,2028,S11,RE1,0.5778
DEMPUBGWTWAT,PUBWAT,1,2029,S11,RE1,0.5726
DEMPUBGWTWAT,PUBWAT,1,2030,S11,RE1,0.5673
DEMPUBGWTWAT,PUBWAT,1,2031,S11,RE1,0.5618
DEMPUBGWTWAT,PUBWAT,1,2032,S11,RE1,0.556
DEMPUBGWTWAT,PUBWAT,1,2033,S11,RE1,0.5499
DEMPUBGWTWAT,PUBWAT,1,2034,S11,RE1,0.5436
DEMPUBGWTWAT,PUBWAT,1,2035,S11,RE1,0.537
DEMPUBSURWAT,PUBWAT,1,2020,S11,RE1,0.664
DEMPUBSURWAT,PUBWAT,1,2021,S11,RE1,0.7464
DEMPUBSURWAT,PUBWAT,1,2022,S11,RE1,0.8448
DEMPUBSURWAT,PUBWAT,1,2023,S11,RE1,0.9458
DEMPUBSURWAT,PUBWAT,1,2024,S11,RE1,1.0508
