r,t,m,y,TotalAnnualTechnologyActivityByMode
RE1,MINCOA,1,2020,321.6672
RE1,MINCOA,1,2021,321.6672
RE1,MINCOA,1,2022,321.6672
RE1,MINCOA,1,2023,321.6672
RE1,MINCOA,1,2024,321.6672
RE1,MINCOA,1,2025,321.6672
RE1,MINCOA,1,2026,321.6672
RE1,MINCOA,1,2027,321.6672
RE1,MINCOA,1,2028,321.6672
RE1,MINCOA,1,2029,321.6672
RE1,MINCOA,1,2030,160.8336
RE1,MINCOA,1,2031,160.8336
RE1,MINCOA,1,2032,160.8336
RE1,MINCOA,1,2033,160.8336
RE1,MINCOA,1,2034,160.8336
RE1,MINCOA,1,2035,160.8336
RE1,MINGAS,1,2020,39.5813
RE1,MINGAS,1,2021,67.4646
RE1,MINGAS,1,2022,102.9948
RE1,MINGAS,1,2023,139.931
RE1,MINGAS,1,2024,177.6262
RE1,MINGAS,1,2025,216.8776
RE1,MINGAS,1,2026,260.3761
RE1,MINGAS,1,2027,304.8282
RE1,MINGAS,1,2028,351.0219
RE1,MINGAS,1,2029,402.2818
RE1,MINGAS,1,2030,562.1663
RE1,MINGAS,1,2031,616.5125
RE1,MINGAS,1,2032,675.3447
RE1,MINGAS,1,2033,736.2057
RE1,MINGAS,1,2034,802.1231
RE1,MINGAS,1,2035,869.8871
RE1,PWRGAS,1,2020,19.7906
RE1,PWRGAS,1,2021,33.7323
RE1,PWRGAS,1,2022,51.4974
RE1,PWRGAS,1,2023,69.9655
RE1,PWRGAS,1,2024,88.8131
RE1,PWRGAS,1,2025,108.4388
RE1,PWRGAS,1,2026,130.1881
RE1,PWRGAS,1,2027,152.4141
RE1,PWRGAS,1,2028,175.5109
RE1,PWRGAS,1,2029,201.1409
RE1,PWRGAS,1,2030,281.0831
RE1,PWRGAS,1,2031,308.2562
RE1,PWRGAS,1,2032,337.6723
RE1,PWRGAS,1,2033,368.1029
RE1,PWRGAS,1,2034,401.0615
RE1,PWRGAS,1,2035,434.9436
RE1,PWRCOA,1,2020,107.2224
RE1,PWRCOA,1,2021,107.2224
RE1,PWRCOA,1,2022,107.2224
RE1,PWRCOA,1,2023,107.2224
RE1,PWRCOA,1,2024,107.2224
RE1,PWRCOA,1,2025,107.2224
RE1,PWRCOA,1,2026,107.2224
RE1,PWRCOA,1,2027,107.2224
RE1,PWRCOA,1,2028,107.2224
RE1,PWRCOA,1,2029,107.2224
RE1,PWRCOA,1,2030,53.6112
RE1,PWRCOA,1,2031,53.6112
RE1,PWRCOA,1,2032,53.6112
RE1,PWRCOA,1,2033,53.6112
RE1,PWRCOA,1,2034,53.6112
RE1,PWRCOA,1,2035,53.6112
RE1,PWRTRN,1,2020,177.395
RE1,PWRTRN,1,2021,191.2764
RE1,PWRTRN,1,2022,208.5715
RE1,PWRTRN,1,2023,226.9833
RE1,PWRTRN,1,2024,245.3622
RE1,PWRTRN,1,2025,264.9382
RE1,PWRTRN,1,2026,286.7075
RE1,PWRTRN,1,2027,308.5015
RE1,PWRTRN,1,2028,331.5196
RE1,PWRTRN,1,2029,356.7231
RE1,PWRTRN,1,2030,383.0612
RE1,PWRTRN,1,2031,410.236
RE1,PWRTRN,1,2032,439.6489
RE1,PWRTRN,1,2033,470.1929
RE1,PWRTRN,1,2034,503.0697
RE1,PWRTRN,1,2035,536.9936
RE1,RSCLND,1,2020,300.0
RE1,RSCLND,1,2021,300.0
RE1,RSCLND,1,2022,300.0
RE1,RSCLND,1,2023,300.0
RE1,RSCLND,1,2024,300.0
RE1,RSCLND,1,2025,300.0
RE1,RSCLND,1,2026,300.0
RE1,RSCLND,1,2027,299.9
RE1,RSCLND,1,2028,300.0
RE1,RSCLND,1,2029,299.9
RE1,RSCLND,1,2030,299.9
RE1,RSCLND,1,2031,299.9
RE1,RSCLND,1,2032,300.0
RE1,RSCLND,1,2033,299.9
RE1,RSCLND,1,2034,300.0
RE1,RSCLND,1,2035,300.0
RE1,LNDMAIRNF,1,2020,4.1
RE1,LNDMAIRNF,1,2021,3.69
RE1,LNDMAIRNF,1,2022,3.28
RE1,LNDMAIRNF,1,2023,2.87
RE1,LNDMAIRNF,1,2024,2.46
RE1,LNDMAIRNF,1,2025,2.05
RE1,LNDMAIRNF,1,2026,1.64
RE1,LNDMAIRNF,1,2027,1.23
RE1,LNDMAIRNF,1,2028,0.82
RE1,LNDMAIRNF,1,2029,0.41
RE1,LNDRICRNF,1,2020,1.3893
RE1,LNDRICRNF,1,2021,1.281
RE1,LNDRICRNF,1,2022,1.138
RE1,LNDRICRNF,1,2023,0.996
RE1,LNDRICRNF,1,2024,0.854
RE1,LNDRICRNF,1,2025,0.711
RE1,LNDRICRNF,1,2026,0.569
RE1,LNDRICRNF,1,2027,0.427
RE1,LNDRICRNF,1,2028,0.285
RE1,LNDRICRNF,1,2029,0.142
RE1,LNDMAIIRR,1,2020,0.3398
RE1,LNDMAIIRR,1,2021,0.7379
RE1,LNDMAIIRR,1,2022,1.1382
RE1,LNDMAIIRR,1,2023,1.5363
RE1,LNDMAIIRR,1,2024,1.9366
RE1,LNDMAIIRR,1,2025,2.3607
RE1,LNDMAIIRR,1,2026,2.7609
RE1,LNDMAIIRR,1,2027,3.1634
RE1,LNDMAIIRR,1,2028,3.5897
RE1,LNDMAIIRR,1,2029,4.016
RE1,LNDMAIIRR,1,2030,4.4445
RE1,LNDMAIIRR,1,2031,4.5681
RE1,LNDMAIIRR,1,2032,4.6918
RE1,LNDMAIIRR,1,2033,4.8155
RE1,LNDMAIIRR,1,2034,4.9391
RE1,LNDMAIIRR,1,2035,5.065
RE1,LNDRICIRR,1,2020,0.55
RE1,LNDRICIRR,1,2021,0.6526
RE1,LNDRICIRR,1,2022,0.7723
RE1,LNDRICIRR,1,2023,0.8869
RE1,LNDRICIRR,1,2024,1.0
RE1,LNDRICIRR,1,2025,1.1096
RE1,LNDRICIRR,1,2026,1.2165
RE1,LNDRICIRR,1,2027,1.3202
RE1,LNDRICIRR,1,2028,1.4217
RE1,LNDRICIRR,1,2029,1.5213
RE1,LNDRICIRR,1,2030,1.6175
RE1,LNDRICIRR,1,2031,1.6498
RE1,LNDRICIRR,1,2032,1.6829
RE1,LNDRICIRR,1,2033,1.7171
RE1,LNDRICIRR,1,2034,1.7512
RE1,LNDRICIRR,1,2035,1.7862
RE1,LNDFOR,1,2020,253.6
RE1,LNDFOR,1,2021,253.4175
RE1,LNDFOR,1,2022,253.3505
RE1,LNDFOR,1,2023,253.1898
RE1,LNDFOR,1,2024,253.1284
RE1,LNDFOR,1,2025,252.9477
RE1,LNDFOR,1,2026,252.8926
RE1,LNDFOR,1,2027,251.8293
RE1,LNDFOR,1,2028,252.6626
RE1,LNDFOR,1,2029,251.5552
RE1,LNDFOR,1,2030,251.7042
RE1,LNDFOR,1,2031,251.7042
RE1,LNDFOR,1,2032,251.7042
RE1,LNDFOR,1,2033,250.4031
RE1,LNDFOR,1,2034,251.0887
RE1,LNDFOR,1,2035,250.7278
RE1,LNDBLT,1,2020,15.0
RE1,LNDBLT,1,2021,15.2
RE1,LNDBLT,1,2022,15.3
RE1,LNDBLT,1,2023,15.5
RE1,LNDBLT,1,2024,15.6
RE1,LNDBLT,1,2025,15.8
RE1,LNDBLT,1,2026,15.9
RE1,LNDBLT,1,2027,16.1
RE1,LNDBLT,1,2028,16.2
RE1,LNDBLT,1,2029,16.4
RE1,LNDBLT,1,2030,16.6
RE1,LNDBLT,1,2031,16.7
RE1,LNDBLT,1,2032,16.9
RE1,LNDBLT,1,2033,17.1
RE1,LNDBLT,1,2034,17.2
RE1,LNDBLT,1,2035,17.4
RE1,LNDWAT,1,2020,25.021
RE1,LNDWAT,1,2021,25.021
RE1,LNDWAT,1,2022,25.021
RE1,LNDWAT,1,2023,25.021
RE1,LNDWAT,1,2024,25.021
