r,t,y,CapitalInvestment
RE1,MINCOA,2020,0.0324
RE1,MINCOA,2021,0.0009
RE1,MINCOA,2022,0.0045
RE1,MINGAS,2020,0.0108
RE1,MINGAS,2022,0.005
RE1,MINGAS,2023,0.002
RE1,MINGAS,2024,0.0016
RE1,MINGAS,2025,0.0015
RE1,MINGAS,2026,0.0016
RE1,MINGAS,2027,0.0012
RE1,MINGAS,2029,0.0007
RE1,MINGAS,2030,0.0072
RE1,PWRTRN,2022,526.5897
RE1,PWRTRN,2023,1694.2416
RE1,PWRTRN,2024,1691.1818
RE1,PWRTRN,2025,1796.2102
RE1,PWRTRN,2026,2002.1632
RE1,PWRTRN,2027,2003.3194
RE1,PWRTRN,2028,2108.5344
RE1,PWRTRN,2029,2315.428
RE1,PWRTRN,2030,2419.3987
RE1,PWRTRN,2031,2510.6446
RE1,PWRTRN,2032,2718.9927
RE1,PWRTRN,2033,2823.9339
RE1,PWRTRN,2034,3031.0025
RE1,PWRTRN,2035,3136.5463
RE1,RSCLND,2020,0.03
RE1,RSCLND,2021,0.03
RE1,RSCLND,2022,0.03
RE1,RSCLND,2023,0.03
RE1,RSCLND,2024,0.03
RE1,RSCLND,2025,0.03
RE1,RSCLND,2026,0.03
RE1,RSCLND,2027,0.03
RE1,RSCLND,2028,0.03
RE1,RSCLND,2029,0.03
RE1,RSCLND,2030,0.03
RE1,RSCLND,2031,0.03
RE1,RSCLND,2032,0.03
RE1,RSCLND,2033,0.03
RE1,RSCLND,2034,0.03
RE1,RSCLND,2035,0.03
RE1,LNDMAIIRR,2020,0.0392
RE1,LNDMAIIRR,2021,22.0373
RE1,LNDMAIIRR,2022,22.1491
RE1,LNDMAIIRR,2023,22.0373
RE1,LNDMAIIRR,2024,22.1491
RE1,LNDMAIIRR,2025,23.3624
RE1,LNDMAIIRR,2026,22.0981
RE1,LNDMAIIRR,2027,22.2609
RE1,LNDMAIIRR,2028,23.4742
RE1,LNDMAIIRR,2029,23.4742
RE1,LNDMAIIRR,2030,23.5861
RE1,LNDMAIIRR,2031,6.3072
RE1,LNDMAIIRR,2032,6.3072
RE1,LNDMAIIRR,2033,6.3072
RE1,LNDMAIIRR,2034,6.3072
RE1,LNDMAIIRR,2035,6.4582
RE1,LNDRICIRR,2020,1.4797
RE1,LNDRICIRR,2021,10.943
RE1,LNDRICIRR,2022,12.4589
RE1,LNDRICIRR,2023,12.4871
RE1,LNDRICIRR,2024,12.559
RE1,LNDRICIRR,2025,12.6026
RE1,LNDRICIRR,2026,12.7089
RE1,LNDRICIRR,2027,12.6309
RE1,LNDRICIRR,2028,12.7028
RE1,LNDRICIRR,2029,12.8183
RE1,LNDRICIRR,2030,12.7747
RE1,LNDRICIRR,2031,2.5161
RE1,LNDRICIRR,2032,2.588
RE1,LNDRICIRR,2033,2.6599
RE1,LNDRICIRR,2034,2.6599
RE1,LNDRICIRR,2035,4.2115
RE1,LNDFOR,2021,2828.604
RE1,LNDFOR,2022,2830.0738
RE1,LNDFOR,2023,2830.1669
RE1,LNDFOR,2024,2829.8178
RE1,LNDFOR,2025,2827.2003
RE1,LNDFOR,2026,2840.9244
RE1,LNDFOR,2027,2818.2586
RE1,LNDFOR,2028,2837.9084
RE1,LNDFOR,2029,2815.4345
RE1,LNDFOR,2030,2757.6569
RE1,LNDBLT,2021,4936.8
RE1,LNDBLT,2022,4646.4
RE1,LNDBLT,2023,4936.8
RE1,LNDBLT,2024,4646.4
RE1,LNDBLT,2025,4936.8
RE1,LNDBLT,2026,4646.4
RE1,LNDBLT,2027,4936.8
RE1,LNDBLT,2028,4646.4
RE1,LNDBLT,2029,4936.8
RE1,LNDBLT,2030,4936.8
RE1,LNDBLT,2031,290.4
RE1,LNDBLT,2032,580.8
RE1,LNDBLT,2033,580.8
RE1,LNDBLT,2034,290.4
RE1,LNDBLT,2035,580.8
RE1,LNDWAT,2020,0.0025
RE1,LNDWAT,2021,0.0025
RE1,LNDWAT,2022,0.0025
RE1,LNDWAT,2023,0.0025
RE1,LNDWAT,2024,0.0025
RE1,LNDWAT,2025,0.0025
RE1,LNDWAT,2026,0.0025
RE1,LNDWAT,2027,0.0025
RE1,LNDWAT,2028,0.0025
RE1,LNDWAT,2029,0.0025
RE1,LNDWAT,2030,0.0026
RE1,LNDWAT,2031,0.0025
RE1,LNDWAT,2032,0.0025
RE1,LNDWAT,2033,0.0026
RE1,LNDWAT,2034,0.0026
RE1,LNDWAT,2035,0.0027
RE1,RSCPRC,2020,0.3186
RE1,RSCPRC,2021,0.3186
RE1,RSCPRC,2022,0.3186
RE1,RSCPRC,2023,0.3186
RE1,RSCPRC,2024,0.3186
RE1,RSCPRC,2025,0.3186
RE1,RSCPRC,2026,0.3186
RE1,RSCPRC,2027,0.3186
RE1,RSCPRC,2028,0.3186
RE1,RSCPRC,2029,0.3186
RE1,RSCPRC,2030,0.3147
RE1,RSCPRC,2031,0.3163
RE1,RSCPRC,2032,0.3186
RE1,RSCPRC,2033,0.3186
RE1,RSCPRC,2034,0.3186
RE1,RSCPRC,2035,0.3186
RE1,RSCHYD,2020,0.011
RE1,RSCHYD,2021,0.011
RE1,RSCHYD,2022,0.011
RE1,RSCHYD,2023,0.011
RE1,RSCHYD,2024,0.011
RE1,RSCHYD,2025,0.011
RE1,RSCHYD,2026,0.011
RE1,RSCHYD,2027,0.0111
RE1,RSCHYD,2028,0.0111
RE1,RSCHYD,2029,0.0111
RE1,RSCHYD,2030,0.0111
RE1,RSCHYD,2031,0.0111
RE1,RSCHYD,2032,0.0111
RE1,RSCHYD,2033,0.0111
RE1,RSCHYD,2034,0.0112
RE1,RSCHYD,2035,0.0112
RE1,RSCSOL,2020,0.0012
RE1,RSCSOL,2021,0.0012
RE1,RSCSOL,2022,0.0012
RE1,RSCSOL,2023,0.0012
RE1,RSCSOL,2024,0.0012
RE1,RSCSOL,2025,0.0012
RE1,RSCSOL,2026,0.0012
RE1,RSCSOL,2027,0.0012
RE1,RSCSOL,2028,0.0012
RE1,RSCSOL,2029,0.0012
RE1,RSCSOL,2030,0.0012
RE1,RSCSOL,2031,0.0012
RE1,RSCSOL,2032,0.0012
RE1,RSCSOL,2033,0.0012
RE1,RSCSOL,2034,0.0012
RE1,RSCSOL,2035,0.0012
RE1,RSCWND,2020,0.0018
RE1,RSCWND,2021,0.0031
RE1,RSCWND,2022,0.0045
RE1,RSCWND,2023,0.0061
RE1,RSCWND,2024,0.0077
RE1,RSCWND,2025,0.0096
RE1,RSCWND,2026,0.0118
RE1,RSCWND,2027,0.014
RE1,RSCWND,2028,0.0169
RE1,RSCWND,2029,0.0198
RE1,RSCWND,2030,0.0233
RE1,RSCWND,2031,0.0267
RE1,RSCWND,2032,0.0309
RE1,RSCWND,2033,0.0349
RE1,RSCWND,2034,0.04
RE1,RSCWND,2035,0.0448
RE1,PWRWND,2021,1182.4321
RE1,PWRWND,2022,1449.9881
RE1,PWRWND,2023,1624.4773
RE1,PWRWND,2024,1752.0476
RE1,PWRWND,2025,1942.5429
RE1,PWRWND,2026,2208.8144
RE1,PWRWND,2027,2362.4448
RE1,PWRWND,2028,2987.246
RE1,PWRWND,2029,2932.6703
RE1,PWRWND,2030,3644.7285
RE1,PWRWND,2031,3485.7891
RE1,PWRWND,2032,4384.7936
RE1,PWRWND,2033,4193.6943
RE1,PWRWND,2034,5210.0467
RE1,PWRWND,2035,4986.8607
RE1,DEMAGRDSL,2020,0.0002
RE1,DEMAGRDSL,2021,0.0002
RE1,DEMAGRDSL,2022,0.0002
RE1,DEMAGRDSL,2023,0.0002
RE1,DEMAGRDSL,2024,0.0002
RE1,DEMAGRDSL,2025,0.0002
RE1,DEMAGRDSL,2026,0.0003
RE1,DEMAGRDSL,2027,0.0003
RE1,DEMAGRDSL,2028,0.0003
RE1,DEMAGRDSL,2029,0.0003
RE1,DEMAGRDSL,2030,0.0003
RE1,DEMAGRDSL,2031,0.0003
RE1,DEMAGRDSL,2032,0.0003
RE1,DEMAGRDSL,2033,0.0003
RE1,DEMAGRDSL,2034,0.0003
RE1,DEMAGRDSL,2035,0.0003
RE1,DEMAGRSURWAT,2023,7.1543
RE1,DEMAGRSURWAT,2024,17.9856
RE1,DEMAGRSURWAT,2025,18.4712
RE1,DEMAGRSURWAT,2026,18.0129
RE1,DEMAGRSURWAT,2027,18.0561
RE1,DEMAGRSURWAT,2028,18.5524
RE1,DEMAGRSURWAT,2029,18.5962
RE1,DEMAGRSURWAT,2030,18.6229
RE1,DEMAGRSURWAT,2031,3.392
RE1,DEMAGRSURWAT,2032,3.4192
RE1,DEMAGRSURWAT,2033,3.4465
RE1,DEMAGRSURWAT,2034,3.4465
RE1,DEMAGRSURWAT,2035,3.517
RE1,DEMPWRSURWAT,2022,0.2666
RE1,DEMPWRSURWAT,2023,0.8935
RE1,DEMPWRSURWAT,2024,0.7811
RE1,DEMPWRSURWAT,2025,0.7594
RE1,DEMPWRSURWAT,2026,0.8105
RE1,DEMPWRSURWAT,2027,0.6808
RE1,DEMPWRSURWAT,2028,0.2899
RE1,DEMPWRSURWAT,2029,0.6146
RE1,DEMPUBSURWAT,2021,40.6814
RE1,DEMPUBSURWAT,2022,48.5695
RE1,DEMPUBSURWAT,2023,49.8822
RE1,DEMPUBSURWAT,2024,51.8512
RE1,DEMPUBSURWAT,2025,54.4766
RE1,DEMPUBSURWAT,2026,56.4456
RE1,DEMPUBSURWAT,2027,58.4147
RE1,DEMPUBSURWAT,2028,61.6964
RE1,DEMPUBSURWAT,2029,63.6654
RE1,DEMPUBSURWAT,2030,66.9471
RE1,DEMPUBSURWAT,2031,69.5725
RE1,DEMPUBSURWAT,2032,72.1979
RE1,DEMPUBSURWAT,2033,75.4796
RE1,DEMPUBSURWAT,2034,78.7613
RE1,DEMPUBSURWAT,2035,82.6994
RE1,DEMTRABIO,2020,0.0001
RE1,DEMTRABIO,2021,0.0001
RE1,DEMTRABIO,2022,0.0001
RE1,DEMTRABIO,2023,0.0001
RE1,DEMTRABIO,2024,0.0001
RE1,DEMTRABIO,2025,0.0001
RE1,DEMTRABIO,2026,0.0001
RE1,DEMTRABIO,2027,0.0001
RE1,DEMTRABIO,2028,0.0001
RE1,DEMTRABIO,2029,0.0002
RE1,DEMTRABIO,2030,0.0002
RE1,DEMTRABIO,2031,0.0002
RE1,DEMTRABIO,2032,0.0002
RE1,DEMTRABIO,2033,0.0002
RE1,DEMTRABIO,2034,0.0002
RE1,DEMTRABIO,2035,0.0002
