r,l,t,m,y,RateOfActivity
RE1,S11,MINCOA,1,2020,316.4591
RE1,S12,MINCOA,1,2020,324.3026
RE1,S21,MINCOA,1,2020,324.3026
RE1,S22,MINCOA,1,2020,324.3026
RE1,S11,MINCOA,1,2021,333.6963
RE1,S12,MINCOA,1,2021,333.6963
RE1,S21,MINCOA,1,2021,324.3026
RE1,S22,MINCOA,1,2021,279.637
RE1,S11,MINCOA,1,2022,378.432
RE1,S12,MINCOA,1,2022,378.432
RE1,S21,MINCOA,1,2022,267.4889
RE1,S22,MINCOA,1,2022,256.9615
RE1,S11,MINCOA,1,2023,378.432
RE1,S12,MINCOA,1,2023,378.432
RE1,S21,MINCOA,1,2023,263.0584
RE1,S22,MINCOA,1,2023,265.8494
RE1,S11,MINCOA,1,2024,378.432
RE1,S12,MINCOA,1,2024,378.432
RE1,S21,MINCOA,1,2024,260.5467
RE1,S22,MINCOA,1,2024,270.888
RE1,S11,MINCOA,1,2025,378.432
RE1,S12,MINCOA,1,2025,378.432
RE1,S21,MINCOA,1,2025,259.0656
RE1,S22,MINCOA,1,2025,273.8591
RE1,S11,MINCOA,1,2026,378.432
RE1,S12,MINCOA,1,2026,378.432
RE1,S21,MINCOA,1,2026,258.0054
RE1,S22,MINCOA,1,2026,275.9859
RE1,S11,MINCOA,1,2027,378.432
RE1,S12,MINCOA,1,2027,378.432
RE1,S21,MINCOA,1,2027,259.1655
RE1,S22,MINCOA,1,2027,273.6588
RE1,S11,MINCOA,1,2028,378.432
RE1,S12,MINCOA,1,2028,378.432
RE1,S21,MINCOA,1,2028,267.6273
RE1,S22,MINCOA,1,2028,256.6838
RE1,S11,MINCOA,1,2029,378.432
RE1,S12,MINCOA,1,2029,378.432
RE1,S21,MINCOA,1,2029,271.8697
RE1,S22,MINCOA,1,2029,248.1734
RE1,S11,MINCOA,1,2030,189.216
RE1,S12,MINCOA,1,2030,189.216
RE1,S21,MINCOA,1,2030,165.2273
RE1,S22,MINCOA,1,2030,65.3243
RE1,S11,MINCOA,1,2031,137.1101
RE1,S12,MINCOA,1,2031,189.216
RE1,S21,MINCOA,1,2031,189.216
RE1,S22,MINCOA,1,2031,123.308
RE1,S11,MINCOA,1,2032,189.216
RE1,S12,MINCOA,1,2032,189.216
RE1,S21,MINCOA,1,2032,183.8161
RE1,S22,MINCOA,1,2032,28.0339
RE1,S11,MINCOA,1,2033,189.216
RE1,S12,MINCOA,1,2033,189.216
RE1,S21,MINCOA,1,2033,187.1794
RE1,S22,MINCOA,1,2033,21.287
RE1,S11,MINCOA,1,2034,189.216
RE1,S12,MINCOA,1,2034,189.216
RE1,S21,MINCOA,1,2034,189.216
RE1,S22,MINCOA,1,2034,17.2015
RE1,S11,MINCOA,1,2035,189.216
RE1,S12,MINCOA,1,2035,189.216
RE1,S21,MINCOA,1,2035,189.216
RE1,S22,MINCOA,1,2035,17.2015
RE1,S12,MINGAS,1,2020,2.9498
RE1,S21,MINGAS,1,2020,108.1252
RE1,S22,MINGAS,1,2020,22.2415
RE1,S11,MINGAS,1,2021,32.5592
RE1,S12,MINGAS,1,2021,2.4636
RE1,S21,MINGAS,1,2021,108.1252
RE1,S11,MINGAS,1,2022,14.013
RE1,S21,MINGAS,1,2022,157.7967
RE1,S11,MINGAS,1,2023,21.3803
RE1,S21,MINGAS,1,2023,177.7377
RE1,S11,MINGAS,1,2024,25.5753
RE1,S21,MINGAS,1,2024,194.0974
RE1,S11,MINGAS,1,2025,28.0815
RE1,S21,MINGAS,1,2025,209.2457
RE1,S11,MINGAS,1,2026,29.7821
RE1,S12,MINGAS,1,2026,0.0287
RE1,S21,MINGAS,1,2026,225.0032
RE1,S11,MINGAS,1,2027,27.0473
RE1,S12,MINGAS,1,2027,1.6819
RE1,S21,MINGAS,1,2027,236.6247
RE1,S11,MINGAS,1,2028,13.9556
RE1,S21,MINGAS,1,2028,235.2963
RE1,S11,MINGAS,1,2029,6.9076
RE1,S21,MINGAS,1,2029,243.2696
RE1,S11,MINGAS,1,2030,119.1029
RE1,S12,MINGAS,1,2030,111.6206
RE1,S21,MINGAS,1,2030,315.36
RE1,S22,MINGAS,1,2030,104.5677
RE1,S11,MINGAS,1,2031,195.2008
RE1,S12,MINGAS,1,2031,157.3432
RE1,S21,MINGAS,1,2031,252.288
RE1,S11,MINGAS,1,2032,137.1295
RE1,S12,MINGAS,1,2032,142.2582
RE1,S21,MINGAS,1,2032,252.288
RE1,S22,MINGAS,1,2032,38.7392
RE1,S11,MINGAS,1,2033,118.836
RE1,S12,MINGAS,1,2033,131.8527
RE1,S21,MINGAS,1,2033,252.288
RE1,S22,MINGAS,1,2033,24.4724
RE1,S11,MINGAS,1,2034,87.489
RE1,S12,MINGAS,1,2034,100.5654
RE1,S21,MINGAS,1,2034,242.6963
RE1,S11,MINGAS,1,2035,61.7294
RE1,S12,MINGAS,1,2035,44.2688
RE1,S21,MINGAS,1,2035,246.18
RE1,S12,PWRGAS,1,2020,1.4749
RE1,S21,PWRGAS,1,2020,54.0626
RE1,S22,PWRGAS,1,2020,11.1208
RE1,S11,PWRGAS,1,2021,16.2796
RE1,S12,PWRGAS,1,2021,1.2318
RE1,S21,PWRGAS,1,2021,54.0626
RE1,S11,PWRGAS,1,2022,7.0065
RE1,S21,PWRGAS,1,2022,78.8984
RE1,S11,PWRGAS,1,2023,10.6902
RE1,S21,PWRGAS,1,2023,88.8688
RE1,S11,PWRGAS,1,2024,12.7877
RE1,S21,PWRGAS,1,2024,97.0487
RE1,S11,PWRGAS,1,2025,14.0407
RE1,S21,PWRGAS,1,2025,104.6228
RE1,S11,PWRGAS,1,2026,14.8911
