r,t,l,y,RateOfTotalActivity
RE1,MINCOA,S11,2020,292.7678
RE1,MINCOA,S11,2021,296.679
RE1,MINCOA,S11,2022,304.0689
RE1,MINCOA,S11,2023,309.9373
RE1,MINCOA,S11,2024,312.5223
RE1,MINCOA,S11,2025,313.2379
RE1,MINCOA,S11,2026,312.8942
RE1,MINCOA,S11,2027,308.7914
RE1,MINCOA,S11,2028,292.0755
RE1,MINCOA,S11,2029,282.28
RE1,MINCOA,S11,2030,189.216
RE1,MINCOA,S11,2031,189.216
RE1,MINCOA,S11,2032,189.216
RE1,MINCOA,S11,2033,176.8956
RE1,MINCOA,S11,2034,129.8678
RE1,MINCOA,S11,2035,91.2229
RE1,MINCOA,S12,2020,328.7281
RE1,MINCOA,S12,2021,337.3923
RE1,MINCOA,S12,2022,348.7678
RE1,MINCOA,S12,2023,359.1364
RE1,MINCOA,S12,2024,366.5536
RE1,MINCOA,S12,2025,372.6419
RE1,MINCOA,S12,2026,378.432
RE1,MINCOA,S12,2027,378.432
RE1,MINCOA,S12,2028,372.5826
RE1,MINCOA,S12,2029,371.0262
RE1,MINCOA,S12,2030,20.2731
RE1,MINCOA,S12,2031,20.2731
RE1,MINCOA,S12,2032,189.216
RE1,MINCOA,S12,2033,189.216
RE1,MINCOA,S12,2034,189.216
RE1,MINCOA,S12,2035,189.216
RE1,MINCOA,S21,2020,319.1228
RE1,MINCOA,S21,2021,310.7549
RE1,MINCOA,S21,2022,297.4797
RE1,MINCOA,S21,2023,286.26
RE1,MINCOA,S21,2024,279.8714
RE1,MINCOA,S21,2025,276.0548
RE1,MINCOA,S21,2026,273.4649
RE1,MINCOA,S21,2027,277.6297
RE1,MINCOA,S21,2028,297.567
RE1,MINCOA,S21,2029,308.3004
RE1,MINCOA,S21,2030,189.216
RE1,MINCOA,S21,2031,189.216
RE1,MINCOA,S21,2032,185.8527
RE1,MINCOA,S21,2033,189.216
RE1,MINCOA,S21,2034,174.401
RE1,MINCOA,S21,2035,189.216
RE1,MINCOA,S22,2020,378.432
RE1,MINCOA,S22,2021,378.432
RE1,MINCOA,S22,2022,378.432
RE1,MINCOA,S22,2023,378.432
RE1,MINCOA,S22,2024,378.432
RE1,MINCOA,S22,2025,378.432
RE1,MINCOA,S22,2026,378.432
