r,s,ls,ld,y,StorageLevelDayTypeStart
RE1,STG_1,1,1,2031,13.4694
RE1,STG_1,1,1,2032,13.4694
RE1,STG_1,1,1,2033,13.4694
RE1,STG_1,1,1,2034,13.4694
RE1,STG_1,1,1,2035,13.4694
RE1,STG_1,2,1,2020,2.8374
RE1,STG_1,2,1,2021,9.6069
RE1,STG_1,2,1,2022,12.3318
RE1,STG_1,2,1,2023,12.3318
RE1,STG_1,2,1,2024,12.3318
RE1,STG_1,2,1,2025,12.3318
RE1,STG_1,2,1,2026,12.3318
RE1,STG_1,2,1,2027,12.3318
RE1,STG_1,2,1,2028,12.3318
RE1,STG_1,2,1,2029,12.3318
RE1,STG_1,2,1,2030,12.3318
RE1,STG_1,2,1,2031,39.1096
RE1,STG_1,2,1,2032,39.1096
RE1,STG_1,2,1,2033,39.1096
RE1,STG_1,2,1,2034,38.2898
RE1,STG_1,2,1,2035,34.9386
