r,t,TotalTechnologyModelPeriodActivity
RE1,MINCOA,4177.1303
RE1,MINGAS,1603.9367
RE1,PWRGAS,801.9683
RE1,PWRCOA,1392.3768
RE1,PWRTRN,5327.5583
RE1,RSCLND,4799.8
RE1,LNDMAIRNF,22.55
RE1,LNDRICRNF,7.7923
RE1,LNDMAIIRR,50.1034
RE1,LNDRICIRR,20.378
RE1,LNDFOR,4038.9707
RE1,LNDBLT,258.9
RE1,LNDWAT,400.336
RE1,RSCPRC,5758.8364
RE1,RSCHYD,1531.5164
RE1,RSCSOL,111.2388
RE1,RSCWND,2597.1825
RE1,PWRHYD,536.0307
RE1,PWRSOL,111.2388
RE1,PWRWND,2597.1825
RE1,DEMAGRDSL,43.4565
RE1,DEMAGRSURWAT,33.007
RE1,DEMAGRGWTWAT,1.5661
RE1,DEMPWRSURWAT,0.6731
RE1,DEMPUBSURWAT,24.4158
RE1,DEMPUBGWTWAT,8.2715
RE1,DEMTRABIO,23.7796
