r,l,t,m,f,y,RateOfUseByTechnologyByMode
RE1,S11,DEMPWRSURWAT,1,WTRSUR,2020,0
RE1,S11,DEMPWRSURWAT,1,WTRSUR,2021,0
RE1,S11,DEMPWRSURWAT,1,WTRSUR,2022,0
RE1,S11,DEMPWRSURWAT,1,WTRSUR,2023,0
RE1,S11,DEMPWRSURWAT,1,WTRSUR,2024,0
RE1,S11,DEMPWRSURWAT,1,WTRSUR,2025,0
RE1,S11,DEMPWRSURWAT,1,WTRSUR,2026,0
RE1,S11,DEMPWRSURWAT,1,WTRSUR,2027,0
RE1,S11,DEMPWRSURWAT,1,WTRSUR,2028,0
RE1,S11,DEMPWRSURWAT,1,WTRSUR,2029,0
RE1,S11,DEMPWRSURWAT,1,WTRSUR,2030,0
RE1,S11,DEMPWRSURWAT,1,WTRSUR,2031,0
RE1,S11,DEMPWRSURWAT,1,WTRSUR,2032,0
RE1,S11,DEMPWRSURWAT,1,WTRSUR,2033,0
RE1,S11,DEMPWRSURWAT,1,WTRSUR,2034,0
RE1,S11,DEMPWRSURWAT,1,WTRSUR,2035,0
RE1,S11,LNDBLT,1,LND,2020,0
RE1,S11,LNDBLT,1,LND,2021,0
RE1,S11,LNDBLT,1,LND,2022,0
RE1,S11,LNDBLT,1,LND,2023,0
RE1,S11,LNDBLT,1,LND,2024,0
RE1,S11,LNDBLT,1,LND,2025,0
RE1,S11,LNDBLT,1,LND,2026,0
RE1,S11,LNDBLT,1,LND,2027,0
RE1,S11,LNDBLT,1,LND,2028,0
RE1,S11,LNDBLT,1,LND,2029,0
RE1,S11,LNDBLT,1,LND,2030,0
RE1,S11,LNDBLT,1,LND,2031,0
RE1,S11,LNDBLT,1,LND,2032,0
RE1,S11,LNDBLT,1,LND,2033,0
RE1,S11,LNDBLT,1,LND,2034,0
RE1,S11,LNDBLT,1,LND,2035,0
RE1,S11,LNDBLT,1,WTRPRC,2020,0
RE1,S11,LNDBLT,1,WTRPRC,2021,0
RE1,S11,LNDBLT,1,WTRPRC,2022,0
RE1,S11,LNDBLT,1,WTRPRC,2023,0
RE1,S11,LNDBLT,1,WTRPRC,2024,0
RE1,S11,LNDBLT,1,WTRPRC,2025,0
RE1,S11,LNDBLT,1,WTRPRC,2026,0
RE1,S11,LNDBLT,1,WTRPRC,2027,0
RE1,S11,LNDBLT,1,WTRPRC,2028,0
RE1,S11,LNDBLT,1,WTRPRC,2029,0
RE1,S11,LNDBLT,1,WTRPRC,2030,0
RE1,S11,LNDBLT,1,WTRPRC,2031,0
RE1,S11,LNDBLT,1,WTRPRC,2032,0
RE1,S11,LNDBLT,1,WTRPRC,2033,0
RE1,S11,LNDBLT,1,WTRPRC,2034,0
RE1,S11,LNDBLT,1,WTRPRC,2035,0
RE1,S11,LNDFOR,1,LND,2020,0
RE1,S11,LNDFOR,1,LND,2021,0
RE1,S11,LNDFOR,1,LND,2022,0
RE1,S11,LNDFOR,1,LND,2023,0
RE1,S11,LNDFOR,1,LND,2024,0
RE1,S11,LNDFOR,1,LND,2025,0
RE1,S11,LNDFOR,1,LND,2026,0
RE1,S11,LNDFOR,1,LND,2027,0
RE1,S11,LNDFOR,1,LND,2028,0
RE1,S11,LNDFOR,1,LND,2029,0
RE1,S11,LNDFOR,1,LND,2030,0
RE1,S11,LNDFOR,1,LND,2031,0
RE1,S11,LNDFOR,1,LND,2032,0
RE1,S11,LNDFOR,1,LND,2033,0
RE1,S11,LNDFOR,1,LND,2034,0
RE1,S11,LNDFOR,1,LND,2035,0
RE1,S11,LNDFOR,1,WTRPRC,2020,0
RE1,S11,LNDFOR,1,WTRPRC,2021,0
RE1,S11,LNDFOR,1,WTRPRC,2022,0
RE1,S11,LNDFOR,1,WTRPRC,2023,0
RE1,S11,LNDFOR,1,WTRPRC,2024,0
RE1,S11,LNDFOR,1,WTRPRC,2025,0
RE1,S11,LNDFOR,1,WTRPRC,2026,0
RE1,S11,LNDFOR,1,WTRPRC,2027,0
RE1,S11,LNDFOR,1,WTRPRC,2028,0
RE1,S11,LNDFOR,1,WTRPRC,2029,0
RE1,S11,LNDFOR,1,WTRPRC,2030,0
RE1,S11,LNDFOR,1,WTRPRC,2031,0
RE1,S11,LNDFOR,1,WTRPRC,2032,0
RE1,S11,LNDFOR,1,WTRPRC,2033,0
RE1,S11,LNDFOR,1,WTRPRC,2034,0
RE1,S11,LNDFOR,1,WTRPRC,2035,0
RE1,S11,LNDMAIHI,1,AGRDSL,2020,0
RE1,S11,LNDMAIHI,1,AGRDSL,2021,0
RE1,S11,LNDMAIHI,1,AGRDSL,2022,0
RE1,S11,LNDMAIHI,1,AGRDSL,2023,0
RE1,S11,LNDMAIHI,1,AGRDSL,2024,0
RE1,S11,LNDMAIHI,1,AGRDSL,2025,0
RE1,S11,LNDMAIHI,1,AGRDSL,2026,0
RE1,S11,LNDMAIHI,1,AGRDSL,2027,0
RE1,S11,LNDMAIHI,1,AGRDSL,2028,0
RE1,S11,LNDMAIHI,1,AGRDSL,2029,0
RE1,S11,LNDMAIHI,1,AGRDSL,2030,0
RE1,S11,LNDMAIHI,1,AGRDSL,2031,0
RE1,S11,LNDMAIHI,1,AGRDSL,2032,0
RE1,S11,LNDMAIHI,1,AGRDSL,2033,0
RE1,S11,LNDMAIHI,1,AGRDSL,2034,0
RE1,S11,LNDMAIHI,1,AGRDSL,2035,0
RE1,S11,LNDMAIHI,1,ELC002,2020,0
RE1,S11,LNDMAIHI,1,ELC002,2021,0
RE1,S11,LNDMAIHI,1,ELC002,2022,0
RE1,S11,LNDMAIHI,1,ELC002,2023,0
RE1,S11,LNDMAIHI,1,ELC002,2024,0
RE1,S11,LNDMAIHI,1,ELC002,2025,0
RE1,S11,LNDMAIHI,1,ELC002,2026,0
RE1,S11,LNDMAIHI,1,ELC002,2027,0
RE1,S11,LNDMAIHI,1,ELC002,2028,0
RE1,S11,LNDMAIHI,1,ELC002,2029,0
RE1,S11,LNDMAIHI,1,ELC002,2030,0
RE1,S11,LNDMAIHI,1,ELC002,2031,0
RE1,S11,LNDMAIHI,1,ELC002,2032,0
RE1,S11,LNDMAIHI,1,ELC002,2033,0
RE1,S11,LNDMAIHI,1,ELC002,2034,0
RE1,S11,LNDMAIHI,1,ELC002,2035,0
RE1,S11,LNDMAIHI,1,LND,2020,0
RE1,S11,LNDMAIHI,1,LND,2021,0
RE1,S11,LNDMAIHI,1,LND,2022,0
RE1,S11,LNDMAIHI,1,LND,2023,0
RE1,S11,LNDMAIHI,1,LND,2024,0
RE1,S11,LNDMAIHI,1,LND,2025,0
RE1,S11,LNDMAIHI,1,LND,2026,0
RE1,S11,LNDMAIHI,1,LND,2027,0
RE1,S11,LNDMAIHI,1,LND,2028,0
RE1,S11,LNDMAIHI,1,LND,2029,0
RE1,S11,LNDMAIHI,1,LND,2030,0
RE1,S11,LNDMAIHI,1,LND,2031,0
RE1,S11,LNDMAIHI,1,LND,2032,0
RE1,S11,LNDMAIHI,1,LND,2033,0
RE1,S11,LNDMAIHI,1,LND,2034,0
RE1,S11,LNDMAIHI,1,LND,2035,0
RE1,S11,LNDMAIHI,1,WTRPRC,2020,0
RE1,S11,LNDMAIHI,1,WTRPRC,2021,0
RE1,S11,LNDMAIHI,1,WTRPRC,2022,0
RE1,S11,LNDMAIHI,1,WTRPRC,2023,0
RE1,S11,LNDMAIHI,1,WTRPRC,2024,0
RE1,S11,LNDMAIHI,1,WTRPRC,2025,0
RE1,S11,LNDMAIHI,1,WTRPRC,2026,0
RE1,S11,LNDMAIHI,1,WTRPRC,2027,0
RE1,S11,LNDMAIHI,1,WTRPRC,2028,0
RE1,S11,LNDMAIHI,1,WTRPRC,2029,0
RE1,S11,LNDMAIHI,1,WTRPRC,2030,0
RE1,S11,LNDMAIHI,1,WTRPRC,2031,0
RE1,S11,LNDMAIHI,1,WTRPRC,2032,0
RE1,S11,LNDMAIHI,1,WTRPRC,2033,0
RE1,S11,LNDMAIHI,1,WTRPRC,2034,0
RE1,S11,LNDMAIHI,1,WTRPRC,2035,0
RE1,S11,LNDMAIHR,1,AGRDSL,2020,0
RE1,S11,LNDMAIHR,1,AGRDSL,2021,0
RE1,S11,LNDMAIHR,1,AGRDSL,2022,0
RE1,S11,LNDMAIHR,1,AGRDSL,2023,0
RE1,S11,LNDMAIHR,1,AGRDSL,2024,0
RE1,S11,LNDMAIHR,1,AGRDSL,2025,0
RE1,S11,LNDMAIHR,1,AGRDSL,2026,0
RE1,S11,LNDMAIHR,1,AGRDSL,2027,0
RE1,S11,LNDMAIHR,1,AGRDSL,2028,0
RE1,S11,LNDMAIHR,1,AGRDSL,2029,0
RE1,S11,LNDMAIHR,1,AGRDSL,2030,0
RE1,S11,LNDMAIHR,1,AGRDSL,2031,0
RE1,S11,LNDMAIHR,1,AGRDSL,2032,0
RE1,S11,LNDMAIHR,1,AGRDSL,2033,0
RE1,S11,LNDMAIHR,1,AGRDSL,2034,0
RE1,S11,LNDMAIHR,1,AGRDSL,2035,0
RE1,S11,LNDMAIHR,1,LND,2020,0
RE1,S11,LNDMAIHR,1,LND,2021,0
RE1,S11,LNDMAIHR,1,LND,2022,0
RE1,S11,LNDMAIHR,1,LND,2023,0
RE1,S11,LNDMAIHR,1,LND,2024,0
RE1,S11,LNDMAIHR,1,LND,2025,0
RE1,S11,LNDMAIHR,1,LND,2026,0
RE1,S11,LNDMAIHR,1,LND,2027,0
RE1,S11,LNDMAIHR,1,LND,2028,0
RE1,S11,LNDMAIHR,1,LND,2029,0
RE1,S11,LNDMAIHR,1,LND,2030,0
RE1,S11,LNDMAIHR,1,LND,2031,0
RE1,S11,LNDMAIHR,1,LND,2032,0
RE1,S11,LNDMAIHR,1,LND,2033,0
RE1,S11,LNDMAIHR,1,LND,2034,0
RE1,S11,LNDMAIHR,1,LND,2035,0
RE1,S11,LNDMAIHR,1,WTRPRC,2020,0
RE1,S11,LNDMAIHR,1,WTRPRC,2021,0
RE1,S11,LNDMAIHR,1,WTRPRC,2022,0
RE1,S11,LNDMAIHR,1,WTRPRC,2023,0
RE1,S11,LNDMAIHR,1,WTRPRC,2024,0
