r,t,TotalTechnologyModelPeriodActivity
RE1,DEMPWRBIO,242.7419
RE1,DEMPWRCOA,10144.603
RE1,DEMPWRDSL,8.1786
RE1,DEMPWRGEO,9379.7063
RE1,DEMPWRHFO,560.5563
RE1,DEMPWRHYD,5802.2967
RE1,DEMPWRLPG,149.6998
RE1,DEMPWRNGS,65573.342
RE1,DEMPWRPCK,0.0
RE1,DEMPWRSOL,11212.344
RE1,DEMPWRURN,9812.3508
RE1,DEMPWRWAS,0.0
RE1,DEMPWRWND,6301.7339
RE1,DEMRESELCB02,9738.71
RE1,DEMRESELCC02,14672.24
RE1,DEMRESELCD02,5459.41
RE1,DEMRESELCE02,5575.64
RE1,DEMRESELCF02,12213.01
RE1,DEMRESELCG02,3123.08
RE1,DEMRESELCH02,3007.93
RE1,DEMRESELCI02,625.84
RE1,DEMRESELCJ02,37.67
RE1,DEMRESELCK02,1259.73
RE1,DEMRESELCL02,827.09
RE1,DEMRESELCM02,2246.92
RE1,DEMRESELCN02,3298.78
RE1,DEMRESELCO02,3132.72
RE1,DEMRESELCP02,827.2
RE1,IMPCOA,0.0
RE1,IMPDSL,0.0
RE1,IMPELCB02,0.0
RE1,IMPELCC02,0.0
RE1,IMPELCD02,0.0
RE1,IMPELCE02,0.0
RE1,IMPELCF02,0.0
RE1,IMPELCG02,0.0
RE1,IMPELCH02,0.0
RE1,IMPELCI02,0.0
RE1,IMPELCJ02,0.0
RE1,IMPELCK02,0.0
RE1,IMPELCL02,0.0
RE1,IMPELCM02,0.0
RE1,IMPELCN02,0.0
RE1,IMPELCO02,0.0
RE1,IMPELCP02,0.0
RE1,IMPGSL,0.0
RE1,IMPHFO,0.0
RE1,IMPKER,0.0
RE1,IMPLPG,0.0
RE1,IMPNGS,0.0
RE1,IMPOHC,0.0
RE1,IMPURN,9812.3508
RE1,MINCOA,10144.603
RE1,MINDSL,8.1786
RE1,MINGSL,0.0
RE1,MINHFO,560.5563
RE1,MINKER,0.0
RE1,MINLPG,149.6998
RE1,MINNGS,65573.342
RE1,MINOHC,0.0
RE1,PWRBIOA01,18.7293
RE1,PWRBIOA02,0.0
RE1,PWRBIOA03,0.0086
RE1,PWRBIOB01,3.9768
RE1,PWRBIOB02,0.0175
RE1,PWRBIOC01,1.0708
RE1,PWRBIOC02,5.5445
RE1,PWRBIOE01,0.3188
RE1,PWRBIOF01,0.1247
RE1,PWRBIOF02,0.2003
RE1,PWRBIOG01,1.5652
RE1,PWRBIOH01,0.0
RE1,PWRCOAA01,2287.3058
RE1,PWRCOAE01,653.9038
RE1,PWRCOAF01,1387.0017
RE1,PWRCOAF02,26.3713
RE1,PWRDSLA01,0.0435
RE1,PWRDSLB01,0.0449
RE1,PWRDSLC01,0.0808
RE1,PWRDSLD01,0.0
RE1,PWRDSLD02,0.0608
RE1,PWRDSLE01,0.0
RE1,PWRDSLE02,0.4114
RE1,PWRDSLF01,0.0
RE1,PWRDSLF02,0.0191
RE1,PWRDSLG01,0.264
RE1,PWRDSLG02,0.0321
RE1,PWRDSLH01,0.0
RE1,PWRDSLH02,0.014
RE1,PWRDSLI01,0.8654
RE1,PWRDSLI02,0.0417
RE1,PWRDSLJ01,0.0657
RE1,PWRDSLJ02,0.1476
RE1,PWRGEOA01,1090.3883
RE1,PWRGEOB01,1137.5946
RE1,PWRGEOC01,3496.2239
RE1,PWRGEOD01,1056.3918
RE1,PWRGEOH01,2296.5138
RE1,PWRGEOJ01,302.594
RE1,PWRHFOA01,1.4188
RE1,PWRHFOB01,182.084
RE1,PWRHFOC01,0.0789
RE1,PWRHFOD01,60.2532
RE1,PWRHFOE01,69.2865
RE1,PWRHFOG01,53.3009
RE1,PWRHFOI01,120.7118
RE1,PWRHFOI02,19.7284
RE1,PWRHFOJ01,1.3505
RE1,PWRHFOP01,5.2497
RE1,PWRHYDA01,99.0537
RE1,PWRHYDB01,3042.6684
RE1,PWRHYDC01,1522.0139
RE1,PWRHYDD01,426.2958
RE1,PWRHYDE01,102.9738
RE1,PWRHYDF01,50.5989
RE1,PWRHYDH01,3.5313
RE1,PWRHYDP01,555.1609
RE1,PWRLPGB01,149.6998
RE1,PWRNGSA01,22.1285
RE1,PWRNGSA02,1302.799
RE1,PWRNGSA03,43.668
RE1,PWRNGSA04,4550.7072
RE1,PWRNGSA05,32.3366
RE1,PWRNGSB01,3222.8053
RE1,PWRNGSB02,0.9073
RE1,PWRNGSB03,254.8167
RE1,PWRNGSB04,27.1663
RE1,PWRNGSB05,2.4339
RE1,PWRNGSB06,297.5772
RE1,PWRNGSC01,2142.155
RE1,PWRNGSC02,3102.5022
RE1,PWRNGSC03,14.7975
RE1,PWRNGSC04,3.896
RE1,PWRNGSC05,9.6908
RE1,PWRNGSC06,215.4821
RE1,PWRNGSD01,597.8503
RE1,PWRNGSD02,2516.4323
RE1,PWRNGSD03,0.509
RE1,PWRNGSD04,0.4561
RE1,PWRNGSE01,2.9442
