r,rr,l,f,y,Trade
RE1,RE1,S11,BIO,2017,0
RE1,RE1,S11,BIO,2018,0
RE1,RE1,S11,BIO,2019,0
RE1,RE1,S11,BIO,2020,0
RE1,RE1,S11,BIO,2021,0
RE1,RE1,S11,BIO,2022,0
RE1,RE1,S11,BIO,2023,0
RE1,RE1,S11,BIO,2024,0
RE1,RE1,S11,BIO,2025,0
RE1,RE1,S11,BIO,2026,0
RE1,RE1,S11,BIO,2027,0
RE1,RE1,S11,BIO,2028,0
RE1,RE1,S11,BIO,2029,0
RE1,RE1,S11,BIO,2030,0
RE1,RE1,S11,BIO,2031,0
RE1,RE1,S11,BIO,2032,0
RE1,RE1,S11,BIO,2033,0
RE1,RE1,S11,BIO,2034,0
RE1,RE1,S11,BIO,2035,0
RE1,RE1,S11,BIO,2036,0
RE1,RE1,S11,BIO,2037,0
RE1,RE1,S11,BIO,2038,0
RE1,RE1,S11,BIO,2039,0
RE1,RE1,S11,BIO,2040,0
RE1,RE1,S11,BIO,2041,0
RE1,RE1,S11,BIO,2042,0
RE1,RE1,S11,BIO,2043,0
RE1,RE1,S11,BIO,2044,0
RE1,RE1,S11,BIO,2045,0
RE1,RE1,S11,BIO,2046,0
RE1,RE1,S11,BIO,2047,0
RE1,RE1,S11,BIO,2048,0
RE1,RE1,S11,BIO,2049,0
RE1,RE1,S11,BIO,2050,0
RE1,RE1,S11,CALTAGBIO,2017,0
RE1,RE1,S11,CALTAGBIO,2018,0
RE1,RE1,S11,CALTAGBIO,2019,0
RE1,RE1,S11,CALTAGBIO,2020,0
RE1,RE1,S11,CALTAGBIO,2021,0
RE1,RE1,S11,CALTAGBIO,2022,0
RE1,RE1,S11,CALTAGBIO,2023,0
RE1,RE1,S11,CALTAGBIO,2024,0
RE1,RE1,S11,CALTAGBIO,2025,0
RE1,RE1,S11,CALTAGBIO,2026,0
RE1,RE1,S11,CALTAGBIO,2027,0
RE1,RE1,S11,CALTAGBIO,2028,0
RE1,RE1,S11,CALTAGBIO,2029,0
RE1,RE1,S11,CALTAGBIO,2030,0
RE1,RE1,S11,CALTAGBIO,2031,0
RE1,RE1,S11,CALTAGBIO,2032,0
RE1,RE1,S11,CALTAGBIO,2033,0
RE1,RE1,S11,CALTAGBIO,2034,0
RE1,RE1,S11,CALTAGBIO,2035,0
RE1,RE1,S11,CALTAGBIO,2036,0
RE1,RE1,S11,CALTAGBIO,2037,0
RE1,RE1,S11,CALTAGBIO,2038,0
RE1,RE1,S11,CALTAGBIO,2039,0
RE1,RE1,S11,CALTAGBIO,2040,0
RE1,RE1,S11,CALTAGBIO,2041,0
RE1,RE1,S11,CALTAGBIO,2042,0
RE1,RE1,S11,CALTAGBIO,2043,0
RE1,RE1,S11,CALTAGBIO,2044,0
RE1,RE1,S11,CALTAGBIO,2045,0
RE1,RE1,S11,CALTAGBIO,2046,0
RE1,RE1,S11,CALTAGBIO,2047,0
RE1,RE1,S11,CALTAGBIO,2048,0
RE1,RE1,S11,CALTAGBIO,2049,0
RE1,RE1,S11,CALTAGBIO,2050,0
RE1,RE1,S11,CALTAGCOA,2017,0
RE1,RE1,S11,CALTAGCOA,2018,0
RE1,RE1,S11,CALTAGCOA,2019,0
RE1,RE1,S11,CALTAGCOA,2020,0
RE1,RE1,S11,CALTAGCOA,2021,0
RE1,RE1,S11,CALTAGCOA,2022,0
RE1,RE1,S11,CALTAGCOA,2023,0
RE1,RE1,S11,CALTAGCOA,2024,0
RE1,RE1,S11,CALTAGCOA,2025,0
RE1,RE1,S11,CALTAGCOA,2026,0
RE1,RE1,S11,CALTAGCOA,2027,0
RE1,RE1,S11,CALTAGCOA,2028,0
RE1,RE1,S11,CALTAGCOA,2029,0
RE1,RE1,S11,CALTAGCOA,2030,0
RE1,RE1,S11,CALTAGCOA,2031,0
RE1,RE1,S11,CALTAGCOA,2032,0
RE1,RE1,S11,CALTAGCOA,2033,0
RE1,RE1,S11,CALTAGCOA,2034,0
RE1,RE1,S11,CALTAGCOA,2035,0
RE1,RE1,S11,CALTAGCOA,2036,0
RE1,RE1,S11,CALTAGCOA,2037,0
RE1,RE1,S11,CALTAGCOA,2038,0
RE1,RE1,S11,CALTAGCOA,2039,0
RE1,RE1,S11,CALTAGCOA,2040,0
RE1,RE1,S11,CALTAGCOA,2041,0
RE1,RE1,S11,CALTAGCOA,2042,0
RE1,RE1,S11,CALTAGCOA,2043,0
RE1,RE1,S11,CALTAGCOA,2044,0
RE1,RE1,S11,CALTAGCOA,2045,0
RE1,RE1,S11,CALTAGCOA,2046,0
RE1,RE1,S11,CALTAGCOA,2047,0
RE1,RE1,S11,CALTAGCOA,2048,0
RE1,RE1,S11,CALTAGCOA,2049,0
RE1,RE1,S11,CALTAGCOA,2050,0
RE1,RE1,S11,CALTAGGEO,2017,0
RE1,RE1,S11,CALTAGGEO,2018,0
RE1,RE1,S11,CALTAGGEO,2019,0
RE1,RE1,S11,CALTAGGEO,2020,0
RE1,RE1,S11,CALTAGGEO,2021,0
RE1,RE1,S11,CALTAGGEO,2022,0
RE1,RE1,S11,CALTAGGEO,2023,0
RE1,RE1,S11,CALTAGGEO,2024,0
RE1,RE1,S11,CALTAGGEO,2025,0
RE1,RE1,S11,CALTAGGEO,2026,0
RE1,RE1,S11,CALTAGGEO,2027,0
RE1,RE1,S11,CALTAGGEO,2028,0
RE1,RE1,S11,CALTAGGEO,2029,0
RE1,RE1,S11,CALTAGGEO,2030,0
RE1,RE1,S11,CALTAGGEO,2031,0
RE1,RE1,S11,CALTAGGEO,2032,0
RE1,RE1,S11,CALTAGGEO,2033,0
RE1,RE1,S11,CALTAGGEO,2034,0
RE1,RE1,S11,CALTAGGEO,2035,0
RE1,RE1,S11,CALTAGGEO,2036,0
RE1,RE1,S11,CALTAGGEO,2037,0
RE1,RE1,S11,CALTAGGEO,2038,0
RE1,RE1,S11,CALTAGGEO,2039,0
RE1,RE1,S11,CALTAGGEO,2040,0
RE1,RE1,S11,CALTAGGEO,2041,0
RE1,RE1,S11,CALTAGGEO,2042,0
RE1,RE1,S11,CALTAGGEO,2043,0
RE1,RE1,S11,CALTAGGEO,2044,0
RE1,RE1,S11,CALTAGGEO,2045,0
RE1,RE1,S11,CALTAGGEO,2046,0
RE1,RE1,S11,CALTAGGEO,2047,0
RE1,RE1,S11,CALTAGGEO,2048,0
RE1,RE1,S11,CALTAGGEO,2049,0
RE1,RE1,S11,CALTAGGEO,2050,0
RE1,RE1,S11,CALTAGHYD,2017,0
RE1,RE1,S11,CALTAGHYD,2018,0
RE1,RE1,S11,CALTAGHYD,2019,0
RE1,RE1,S11,CALTAGHYD,2020,0
RE1,RE1,S11,CALTAGHYD,2021,0
RE1,RE1,S11,CALTAGHYD,2022,0
RE1,RE1,S11,CALTAGHYD,2023,0
RE1,RE1,S11,CALTAGHYD,2024,0
RE1,RE1,S11,CALTAGHYD,2025,0
RE1,RE1,S11,CALTAGHYD,2026,0
RE1,RE1,S11,CALTAGHYD,2027,0
RE1,RE1,S11,CALTAGHYD,2028,0
RE1,RE1,S11,CALTAGHYD,2029,0
RE1,RE1,S11,CALTAGHYD,2030,0
RE1,RE1,S11,CALTAGHYD,2031,0
RE1,RE1,S11,CALTAGHYD,2032,0
RE1,RE1,S11,CALTAGHYD,2033,0
RE1,RE1,S11,CALTAGHYD,2034,0
RE1,RE1,S11,CALTAGHYD,2035,0
RE1,RE1,S11,CALTAGHYD,2036,0
RE1,RE1,S11,CALTAGHYD,2037,0
RE1,RE1,S11,CALTAGHYD,2038,0
RE1,RE1,S11,CALTAGHYD,2039,0
RE1,RE1,S11,CALTAGHYD,2040,0
RE1,RE1,S11,CALTAGHYD,2041,0
RE1,RE1,S11,CALTAGHYD,2042,0
RE1,RE1,S11,CALTAGHYD,2043,0
RE1,RE1,S11,CALTAGHYD,2044,0
RE1,RE1,S11,CALTAGHYD,2045,0
RE1,RE1,S11,CALTAGHYD,2046,0
RE1,RE1,S11,CALTAGHYD,2047,0
RE1,RE1,S11,CALTAGHYD,2048,0
RE1,RE1,S11,CALTAGHYD,2049,0
RE1,RE1,S11,CALTAGHYD,2050,0
RE1,RE1,S11,CALTAGNGS,2017,0
RE1,RE1,S11,CALTAGNGS,2018,0
RE1,RE1,S11,CALTAGNGS,2019,0
RE1,RE1,S11,CALTAGNGS,2020,0
RE1,RE1,S11,CALTAGNGS,2021,0
RE1,RE1,S11,CALTAGNGS,2022,0
RE1,RE1,S11,CALTAGNGS,2023,0
RE1,RE1,S11,CALTAGNGS,2024,0
RE1,RE1,S11,CALTAGNGS,2025,0
RE1,RE1,S11,CALTAGNGS,2026,0
RE1,RE1,S11,CALTAGNGS,2027,0
RE1,RE1,S11,CALTAGNGS,2028,0
RE1,RE1,S11,CALTAGNGS,2029,0
RE1,RE1,S11,CALTAGNGS,2030,0
RE1,RE1,S11,CALTAGNGS,2031,0
RE1,RE1,S11,CALTAGNGS,2032,0
RE1,RE1,S11,CALTAGNGS,2033,0
RE1,RE1,S11,CALTAGNGS,2034,0
RE1,RE1,S11,CALTAGNGS,2035,0
